"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_MF_DIRECT","ATP binding","21","53","1533","18807","1.48e-9","3.76e-7","4.86","3.76e-7","3.33e-7","2.98e-10","TOP2A,UBE2C,PLK1,TTK,MKI67,EGFR,ACTB,AURKA,MELK,PIK3CA,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,KIF2C,KIF20A,TK1,BUB1,MCM2"
"GOTERM_MF_DIRECT","identical protein binding","22","53","1816","18807","4.31e-9","5.49e-7","4.30","1.10e-6","4.87e-7","9.86e-10","RB1,RRM2,PCNA,PLK1,PTEN,TTK,BRCA1,GATA3,BRCA2,ESR1,EGFR,ACTB,CDH1,MYC,ERBB2,BIRC5,AKT1,PGR,TK1,GAPDH,TP53,MAD2L1"
"GOTERM_MF_DIRECT","kinase activity","15","53","727","18807","6.65e-9","5.65e-7","7.32","1.69e-6","5.01e-7","8.87e-10","PLK1,TTK,EGFR,AURKA,MELK,PIK3CA,CCND1,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,TK1,BUB1"
"GOTERM_MF_DIRECT","protein kinase activity","13","53","524","18807","1.44e-8","7.79e-7","8.80","3.68e-6","6.90e-7","1.60e-9","PLK1,TTK,EGFR,AURKA,MELK,CCND1,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,BUB1"
"GOTERM_MF_DIRECT","enzyme binding","12","53","418","18807","1.53e-8","7.79e-7","10.19","3.89e-6","6.90e-7","1.45e-9","RB1,PCNA,CCND1,PTEN,BIRC5,AKT1,PGR,BRCA1,ESR1,TP53,EGFR,MCM2"
"GOTERM_MF_DIRECT","nucleotide binding","21","53","1830","18807","3.08e-8","1.31e-6","4.07","7.86e-6","1.16e-6","7.45e-9","TOP2A,UBE2C,PLK1,TTK,MKI67,EGFR,ACTB,AURKA,MELK,PIK3CA,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,KIF2C,KIF20A,TK1,BUB1,MCM2"
"GOTERM_MF_DIRECT","protein serine kinase activity","11","53","363","18807","4.88e-8","1.78e-6","10.75","1.24e-5","1.58e-6","4.40e-9","MELK,PIK3CA,CDK4,PLK1,CHEK1,PBK,AKT1,TTK,NEK2,BUB1,AURKA"
"GOTERM_MF_DIRECT","protein serine/threonine kinase activity","11","53","419","18807","1.86e-7","5.92e-6","9.32","4.73e-5","5.24e-6","1.94e-8","MELK,PIK3CA,CDK4,PLK1,CHEK1,PBK,AKT1,TTK,NEK2,BUB1,AURKA"
"GOTERM_MF_DIRECT","protein binding","52","53","13621","18807","1.05e-6","2.98e-5","1.35","2.68e-4","2.64e-5","7.75e-7","RB1,FOXA1,TOP2A,FEN1,PTEN,BRCA1,BRCA2,MKI67,ACTB,CDC20,PTTG1,CCND1,CDH1,MYC,CHEK1,PBK,AKT1,NEK2,TK1,KRT8,MELK,PIK3CA,BIRC5,PGR,KIF2C,KIF20A,GAPDH,DTL,TP53,MCM2,PCNA,NCAPG,TTK,GATA3,TOB2,CENPA,EGFR,AURKA,CCNB2,MUC1,CCNB1,ERBB2,E2F1,BUB1,RRM2,UBE2C,PLK1,ESR1,KRT18,CDK4,EZH2,MAD2L1"
"GOTERM_MF_DIRECT","transferase activity","19","53","1894","18807","1.56e-6","3.98e-5","3.56","3.98e-4","3.53e-5","4.30e-7","UBE2C,PLK1,TTK,BRCA1,TYMS,EGFR,AURKA,MELK,PIK3CA,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,TK1,GAPDH,BUB1,EZH2"
