"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","7.13","INTERPRO","Kinase-like_dom_sf","13","53","541","20023","24.53","1.03e-8","2.76e-6","9.08","2.76e-6","2.69e-6","1.11e-9","PLK1,TTK,EGFR,AURKA,MELK,PIK3CA,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,BUB1"
"1","7.13","INTERPRO","Prot_kinase_dom","12","53","496","20023","22.64","4.66e-8","6.22e-6","9.14","1.24e-5","6.05e-6","4.96e-9","MELK,CDK4,ERBB2,PLK1,CHEK1,PBK,AKT1,TTK,NEK2,BUB1,EGFR,AURKA"
"1","7.13","INTERPRO","Ser/Thr_kinase_AS","10","53","314","20023","18.87","1.04e-7","9.27e-6","12.03","2.78e-5","9.02e-6","8.37e-9","MELK,CDK4,PLK1,CHEK1,PBK,AKT1,TTK,NEK2,BUB1,AURKA"
"1","7.13","INTERPRO","Protein_kinase_ATP_BS","10","53","388","20023","18.87","6.19e-7","4.13e-5","9.74","1.65e-4","4.02e-5","6.17e-8","MELK,CDK4,ERBB2,PLK1,CHEK1,AKT1,TTK,BUB1,EGFR,AURKA"
"2","3.23","INTERPRO","Cyclin-like_dom","4","53","36","20023","7.55","1.11e-4","5.93e-3","41.98","2.92e-2","5.77e-3","2.42e-6","RB1,CCNB2,CCNB1,CCND1"
"2","3.23","INTERPRO","Cyclin-like_sf","4","53","45","20023","7.55","2.17e-4","9.66e-3","33.58","5.63e-2","9.41e-3","6.01e-6","RB1,CCNB2,CCNB1,CCND1"
"2","3.23","INTERPRO","Cyclins_cyclin-box","3","53","11","20023","5.66","3.58e-4","1.37e-2","103.03","9.13e-2","1.33e-2","2.85e-6","CCNB2,CCNB1,CCND1"
"2","3.23","INTERPRO","Cyclin_C-dom","3","53","19","20023","5.66","1.10e-3","3.62e-2","59.65","2.55e-1","3.52e-2","1.65e-5","CCNB2,CCNB1,CCND1"
"2","3.23","INTERPRO","Cyclin","3","53","20","20023","5.66","1.22e-3","3.62e-2","56.67","2.78e-1","3.52e-2","1.93e-5","CCNB2,CCNB1,CCND1"
"2","3.23","INTERPRO","Cyclin_N","3","53","35","20023","5.66","3.73e-3","9.95e-2","32.38","6.31e-1","9.69e-2","1.08e-4","CCNB2,CCNB1,CCND1"

