"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Baraitser-Winter syndrome 1"
"Disease","OMIM_DISEASE","Becker nevus, syndromic or isolated, somatic mosaic"
"Disease","OMIM_DISEASE","Dystonia-deafness syndrome 1"
"Disease","OMIM_DISEASE","Congenital smooth muscle hamartoma with or without hemihypertrophy, somatic mosaic"
"Disease","OMIM_DISEASE","Thrombocytopenia 8, with dysmorphic features and developmental delay"
"Disease","UP_KW_DISEASE","Deafness"
"Disease","UP_KW_DISEASE","Disease variant"
"Disease","UP_KW_DISEASE","Intellectual disability"
"Disease","UP_KW_DISEASE","Dystonia"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Hydrolase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Methylation"
"Functional Annotations","UP_KW_PTM","Oxidation"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:(Microbial infection) Isoglutamyl lysine isopeptide (Glu-Lys) (interchain with K-50); by Vibrio toxins RtxA and VgrG1"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:(Microbial infection) Isoglutamyl lysine isopeptide (Lys-Glu) (interchain with E-270); by Vibrio toxins RtxA and VgrG1"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: Decreased interaction with SETD3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:G->A: Impaired methylation by SETD3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:H->A: Abolished methylation by SETD3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:H->K: Weak methylation by a A-256 or V-256 SETD3 mutant. High methylation by a F-256 and A-274 SETD3 mutant."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:I->A: Decreased interaction with SETD3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:I->A: Impaired methylation by SETD3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:M->A: Decreased interaction with SETD3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:W->E: Does not affect methylation by SETD3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Y->A: Decreased interaction with SETD3."
"Gene Ontology","GOTERM_BP_DIRECT","morphogenesis of a polarized epithelium"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin remodeling"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","cytoskeleton organization"
"Gene Ontology","GOTERM_BP_DIRECT","establishment or maintenance of cell polarity"
"Gene Ontology","GOTERM_BP_DIRECT","axonogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","substantia nigra development"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of mitotic metaphase/anaphase transition"
"Gene Ontology","GOTERM_BP_DIRECT","adherens junction assembly"
"Gene Ontology","GOTERM_BP_DIRECT","maintenance of blood-brain barrier"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","apical protein localization"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of T cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of myoblast differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","cell motility"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of norepinephrine uptake"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of norepinephrine uptake"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of G0 to G1 transition"
"Gene Ontology","GOTERM_BP_DIRECT","platelet aggregation"
"Gene Ontology","GOTERM_BP_DIRECT","protein localization to adherens junction"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to cytochalasin B"
"Gene Ontology","GOTERM_BP_DIRECT","postsynaptic actin cytoskeleton organization"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transepithelial transport"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of synaptic vesicle endocytosis"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of stem cell population maintenance"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of protein localization to plasma membrane"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of double-strand break repair via homologous recombination"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of G1/S transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of double-strand break repair"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of double-strand break repair"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of nucleotide-excision repair"
"Gene Ontology","GOTERM_CC_DIRECT","kinetochore"
"Gene Ontology","GOTERM_CC_DIRECT","chromatin"
"Gene Ontology","GOTERM_CC_DIRECT","nucleosome"
"Gene Ontology","GOTERM_CC_DIRECT","extracellular space"
