"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Colorectal cancer with chromosomal instability, somatic"
"Disease","OMIM_DISEASE","Microcephaly 30, primary, autosomal recessive"
"Disease","UP_KW_DISEASE","Primary microcephaly"
"Disease","UP_KW_DISEASE","Intellectual disability"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Apoptosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Chromosome partition"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Host-virus interaction"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Centromere"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Kinetochore"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:BUB1 N-terminal"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Protein kinase"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:KEN box 1"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:KEN box 2"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:Nuclear localization signal"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:A->D,W: Loss of interaction with KNL1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:A->S: Partial rescue of the spindle-assembly checkpoint activity. Increased rate of chromosome congression errors. Impaired localization to kinetochores and loss of kinetochore binding of CENPF, SGO1 and BUBR1 but not of MCAK, MAD1L1 or MAD2L1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:E->A: Loss of ubiquitination and CDH1-dependent degradation; when associated with A-535 and A-537."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:E->A: Loss of ubiquitination and CDH1-dependent degradation; when associated with A-625 and A-627."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->A: Loss of activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->A: Loss of ubiquitination and CDH1-dependent degradation; when associated with A-536 and A-537."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->A: Loss of ubiquitination and CDH1-dependent degradation; when associated with A-626 and A-627."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->G: Loss of interaction with KNL1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:N->A: Loss of ubiquitination and CDH1-dependent degradation; when associated with A-535 and A-536."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:N->A: Loss of ubiquitination and CDH1-dependent degradation; when associated with A-625 and A-626."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Diminished interaction with PLK1."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Essential for loading of BUBR1, MAD1L1 and MAD2L1 to kinetochores"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Necessary for interaction with BUB3"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Necessary for interaction with KNL1"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Necessary for kinetochore localization"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin remodeling"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of sister chromatid cohesion"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic spindle assembly checkpoint signaling"
"Gene Ontology","GOTERM_BP_DIRECT","intracellular signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
"Gene Ontology","GOTERM_BP_DIRECT","meiotic sister chromatid cohesion, centromeric"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of maintenance of mitotic sister chromatid cohesion, centromeric"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome, centromeric region"
"Gene Ontology","GOTERM_CC_DIRECT","kinetochore"
"Gene Ontology","GOTERM_CC_DIRECT","outer kinetochore"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","cytosol"
"Gene Ontology","GOTERM_CC_DIRECT","membrane"
"Gene Ontology","GOTERM_CC_DIRECT","intracellular membrane-bounded organelle"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine/threonine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","transferase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","histone H2A kinase activity"
"General Annotations","CHROMOSOME","2"
"General Annotations","CYTOGENETIC_LOCATION","2q13"
"General Annotations","ENTREZ_GENE_SUMMARY","This gene encodes a serine/threonine-protein kinase that play a central role in mitosis. The encoded protein functions in part by phosphorylating members of the mitotic checkpoint complex and activating the spindle checkpoint. This protein also plays a role in inhibiting the activation of the anaphase promoting complex/cyclosome. This protein may also function in the DNA damage response. Mutations in this gene have been associated with aneuploidy and several forms of cancer. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]"
"General Annotations","UP_COMMENT_ACTIVITY_REGULATION","Autophosphorylated when the cells enters mitosis."
