"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Breast cancer, lobular, somatic"
"Disease","OMIM_DISEASE","Blepharocheilodontic syndrome 1"
"Disease","OMIM_DISEASE","Diffuse gastric and lobular breast cancer syndrome with or without cleft lip and/or palate"
"Disease","OMIM_DISEASE","Ovarian cancer, somatic"
"Disease","OMIM_DISEASE","Endometrial carcinoma, somatic"
"Disease","UP_KW_DISEASE","Ectodermal dysplasia"
"Disease","UP_KW_DISEASE","Disease variant"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell adhesion"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Golgi apparatus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cell junction"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Endosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cell membrane"
"Functional Annotations","UP_KW_PTM","Cleavage on pair of basic residues"
"Functional Annotations","UP_KW_PTM","Glycoprotein"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Disulfide bond"
"Functional Annotations","UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine"
"Functional Annotations","UP_SEQ_FEATURE","CARBOHYD:O-linked (Man...) serine"
"Functional Annotations","UP_SEQ_FEATURE","CARBOHYD:O-linked (Man...) threonine"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","DISULFID:Interchain"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Cadherin"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Cadherin 1"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Cadherin 2"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Cadherin 3"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Cadherin 4"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Cadherin 5"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:GGG->AAA: Binds to CTNNB1 but abolishes interaction of CTNNB1 with PSEN1. Abolishes gamma-secretase cleavage."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->D: Reduces localization to desmosome cell-cell junctions. Also reduces the localization of DSG2 and DSP to desmosome cell-cell junctions."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:N->Q: CDH1 becomes a substrate for ERAD and is retro-translocated from ER to cytoplasm."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:P->A,E,V: No longer binds L.monocytogenes InlA."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:P->E: No longer adheres to L.monocytogenes InlA coated beads, nor do cells take up InlA coated beads."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:W->A,S: No longer binds L.monocytogenes InlA."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:W->D: Protein is partially unfolded, no longer binds L.monocytogenes InlA."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Y->F: Abolishes binding to CBLL1."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Required for binding CTNND1 and PSEN1"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Required for binding alpha, beta and gamma catenins"
"Functional Annotations","UP_SEQ_FEATURE","SITE:Cleavage; by S.pyogenes SpeB"
"Functional Annotations","UP_SEQ_FEATURE","SITE:Cleavage; by a metalloproteinase"
"Functional Annotations","UP_SEQ_FEATURE","SITE:Cleavage; by caspase-3"
"Functional Annotations","UP_SEQ_FEATURE","SITE:Cleavage; by gamma-secretase/PS1"
"Functional Annotations","UP_SEQ_FEATURE","TOPO_DOM:Cytoplasmic"
"Functional Annotations","UP_SEQ_FEATURE","TOPO_DOM:Extracellular"
"Functional Annotations","UP_SEQ_FEATURE","TRANSMEM:Helical"
"Gene Ontology","GOTERM_BP_DIRECT","cell morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","desmosome assembly"
"Gene Ontology","GOTERM_BP_DIRECT","cell-cell junction assembly"
"Gene Ontology","GOTERM_BP_DIRECT","cell adhesion"
"Gene Ontology","GOTERM_BP_DIRECT","homophilic cell-cell adhesion"
"Gene Ontology","GOTERM_BP_DIRECT","synapse assembly"
"Gene Ontology","GOTERM_BP_DIRECT","response to xenobiotic stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","response to toxic substance"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","calcium-dependent cell-cell adhesion"
"Gene Ontology","GOTERM_BP_DIRECT","cell migration"
"Gene Ontology","GOTERM_BP_DIRECT","pituitary gland development"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell-cell adhesion"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell migration"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of axon extension"
"Gene Ontology","GOTERM_BP_DIRECT","neuron projection development"
"Gene Ontology","GOTERM_BP_DIRECT","cell junction assembly"
"Gene Ontology","GOTERM_BP_DIRECT","adherens junction organization"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of protein import into nucleus"
"Gene Ontology","GOTERM_BP_DIRECT","cell-cell adhesion mediated by cadherin"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transport"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to lithium ion"
"Gene Ontology","GOTERM_BP_DIRECT","response to heparin"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to indole-3-methanol"
"Gene Ontology","GOTERM_BP_DIRECT","protein localization to plasma membrane"
"Gene Ontology","GOTERM_BP_DIRECT","cell-cell adhesion"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of protein catabolic process at postsynapse, modulating synaptic transmission"
"Gene Ontology","GOTERM_BP_DIRECT","response to Gram-positive bacterium"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of protein localization"
"Gene Ontology","GOTERM_CC_DIRECT","extracellular region"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","endosome"
"Gene Ontology","GOTERM_CC_DIRECT","Golgi apparatus"
"Gene Ontology","GOTERM_CC_DIRECT","trans-Golgi network"
"Gene Ontology","GOTERM_CC_DIRECT","plasma membrane"
"Gene Ontology","GOTERM_CC_DIRECT","adherens junction"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasmic side of plasma membrane"
"Gene Ontology","GOTERM_CC_DIRECT","actin cytoskeleton"
"Gene Ontology","GOTERM_CC_DIRECT","membrane"
"Gene Ontology","GOTERM_CC_DIRECT","lateral plasma membrane"
"Gene Ontology","GOTERM_CC_DIRECT","catenin complex"
"Gene Ontology","GOTERM_CC_DIRECT","flotillin complex"
"Gene Ontology","GOTERM_CC_DIRECT","lamellipodium"
"Gene Ontology","GOTERM_CC_DIRECT","cell junction"
