"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Oocyte/zygote/embryo maturation arrest 14"
"Disease","UP_KW_DISEASE","Disease variant"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Differentiation"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Neurogenesis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Ubl conjugation pathway"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Centromere"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Kinetochore"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:CDC20/Fizzy WD40"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Does not affect its ability to bind the APC/C complex; when associated with R-485."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Does not affect its ability to bind the APC/C complex; when associated with R-490."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: Loss of interaction with MAD2L1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-41; A-72; A-153; A-157 and A-161."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-41; A-92; A-153; A-157 and A-161."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-42; A-72; A-92; A-157 and A-161."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-72; A-92; A-153; A-157 and A-161."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Loss of BUB1-mediated phosphorylation and inhibition and partially defective spindle-assembly checkpoint; when associated with A-42; A-72; A-92; A-153 and A-161."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:WD"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:WD 1"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:WD 2"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:WD 3"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:WD 4"
