"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Host-virus interaction"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Centromere"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleosome core"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_PTM","ADP-ribosylation"
"Functional Annotations","UP_KW_PTM","Methylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Histone H2A/H2B/H3"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:H->G: Reduces location at centromeres. Abolishes location at centromeres; when associated with C-112."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->C: No effect on location at centromeres. Abolishes location at centromeres; when associated with G-104."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:RG->AA: Impairs retention at centromeres, but not targeting to centromeres."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Impaired mitotic chromosome congression and chromosome segregation; when associated with A-17."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Impaired mitotic chromosome congression and chromosome segregation; when associated with A-19."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Induces a delay at the terminal stage of cytokinesis and chromosome misalignment during mitosis due to a defect in kinetochore attachment to microtubules."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: No effect on interaction with HJURP. Impairs localization at centromeres."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->E,Q: Impairs interaction with HJURP, association with chromatin and localization at centromeres."
"Functional Annotations","UP_SEQ_FEATURE","REGION:CATD"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Important for flexibility of DNA ends that protrude from nucleosomes"
"Gene Ontology","GOTERM_BP_DIRECT","establishment of mitotic spindle orientation"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic cytokinesis"
"Gene Ontology","GOTERM_BP_DIRECT","CENP-A containing chromatin assembly"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
"Gene Ontology","GOTERM_BP_DIRECT","kinetochore assembly"
"Gene Ontology","GOTERM_BP_DIRECT","protein localization to CENP-A containing chromatin"
"Gene Ontology","GOTERM_BP_DIRECT","protein localization to chromosome, centromeric region"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome, centromeric region"
