"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Oocyte/zygote/embryo maturation arrest 21"
"Disease","UP_KW_DISEASE","Disease variant"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA damage"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA repair"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Protein kinase"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: Abolishes kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:F->A: Impairs nuclear export."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Abolishes kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Enhances stability of the protein, probably by preventing ubiquitination at this site."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Strong reduction of chromatin-associated CHK1 ubiquitination."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:M->A: Impairs nuclear export."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->E: In 3RE mutant. Disrupts the folding and/or conformation, allowing increased accessibility to FBXO6 component of SCF-type E3 ubiquitin ligase complex; when associated with E-372 and E-376."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->E: In 3RE mutant. Disrupts the folding and/or conformation, allowing increased accessibility to FBXO6 component of SCF-type E3 ubiquitin ligase complex; when associated with E-372 and E-379."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->E: In 3RE mutant. Disrupts the folding and/or conformation, allowing increased accessibility to FBXO6 component of SCF-type E3 ubiquitin ligase complex; when associated with E-376 and E-379."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Abrogates interaction with RAD51; when associated with A-317. Reduces phosphorylation and impairs activation by hydroxyurea and ionizing radiation. Impairs interaction with YWHAZ which is required for nuclear retention after checkpoint activation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Abrogates interaction with RAD51; when associated with A-345. Reduces phosphorylation and impairs activation by hydroxyurea and ionizing radiation. Abrogates nuclear retention upon checkpoint activation. Impairs interaction with FBXO6."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: No effect on phosphorylation induced by hydroxyurea."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->E: Enhances interaction with RAD51; when associated with E-317."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->E: Enhances interaction with RAD51; when associated with E-345."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Autoinhibitory region"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with CLSPN"
"Gene Ontology","GOTERM_BP_DIRECT","DNA damage checkpoint signaling"
"Gene Ontology","GOTERM_BP_DIRECT","G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","inner cell mass cell proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","DNA replication"
"Gene Ontology","GOTERM_BP_DIRECT","DNA repair"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin remodeling"
"Gene Ontology","GOTERM_BP_DIRECT","protein phosphorylation"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","DNA damage response"
"Gene Ontology","GOTERM_BP_DIRECT","nucleus organization"
"Gene Ontology","GOTERM_BP_DIRECT","nuclear envelope organization"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic nuclear membrane disassembly"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic G2 DNA damage checkpoint signaling"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of double-strand break repair via homologous recombination"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","peptidyl-threonine phosphorylation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","signal transduction in response to DNA damage"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic G2/M transition checkpoint"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of gene expression, epigenetic"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of mitotic nuclear division"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of mitotic centrosome separation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of G0 to G1 transition"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to mechanical stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","replicative senescence"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of signal transduction by p53 class mediator"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell cycle phase transition"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic process involved in development"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome, telomeric region"
"Gene Ontology","GOTERM_CC_DIRECT","chromatin"
"Gene Ontology","GOTERM_CC_DIRECT","condensed nuclear chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","extracellular space"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","replication fork"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","centrosome"
"Gene Ontology","GOTERM_CC_DIRECT","cytosol"
"Gene Ontology","GOTERM_CC_DIRECT","cytoskeleton"
"Gene Ontology","GOTERM_CC_DIRECT","protein-containing complex"
"Gene Ontology","GOTERM_CC_DIRECT","intracellular membrane-bounded organelle"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine/threonine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","transferase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein domain specific binding"
"Gene Ontology","GOTERM_MF_DIRECT","histone H3T11 kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine kinase activity"
"General Annotations","CHROMOSOME","11"
"General Annotations","CYTOGENETIC_LOCATION","11q24.2"
"General Annotations","ENTREZ_GENE_SUMMARY","The protein encoded by this gene belongs to the Ser/Thr protein kinase family. It is required for checkpoint mediated cell cycle arrest in response to DNA damage or the presence of unreplicated DNA. This protein acts to integrate signals from ATM and ATR, two cell cycle proteins involved in DNA damage responses, that also associate with chromatin in meiotic prophase I. Phosphorylation of CDC25A protein phosphatase by this protein is required for cells to delay cell cycle progression in response to double-strand DNA breaks. Several alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Oct 2011]"
"General Annotations","UP_COMMENT_ACTIVITY_REGULATION","Activated through phosphorylation predominantly by ATR but also by ATM in response to DNA damage or inhibition of DNA replication (PubMed:11390642, PubMed:12588868, PubMed:12676583, PubMed:12676962, PubMed:15665856, PubMed:19716789). Activation is modulated by several mediators including CLSPN, BRCA1 and FEM1B (PubMed:11836499, PubMed:12766152, PubMed:16963448, PubMed:19330022). Proteolytic cleavage at the C-terminus by SPRTN during normal DNA replication activates the protein kinase activity (PubMed:31316063). {ECO:0000269|PubMed:11390642, ECO:0000269|PubMed:11836499, ECO:0000269|PubMed:12588868, ECO:0000269|PubMed:12676583, ECO:0000269|PubMed:12676962, ECO:0000269|PubMed:12766152, ECO:0000269|PubMed:15665856, ECO:0000269|PubMed:16963448, ECO:0000269|PubMed:19330022, ECO:0000269|PubMed:19716789, ECO:0000269|PubMed:31316063}."
"General Annotations","UP_COMMENT_ALTERNATIVE_PRODUCTS","Event=Alternative splicing; Named isoforms=3; Name=1;   IsoId=O14757-1; Sequence=Displayed; Name=2; Synonyms=Chk1-short {ECO:0000303|PubMed:22184239}, Chk1-S {ECO:0000303|PubMed:22184239};   IsoId=O14757-2; Sequence=VSP_044008, VSP_044009; Name=3;   IsoId=O14757-3; Sequence=VSP_045075;"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP +   H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-   COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616,   ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1;   Evidence={ECO:0000256|ARBA:ARBA00048679};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP +   H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-   COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616,   ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1;   Evidence={ECO:0000269|PubMed:10673501, ECO:0000269|PubMed:12660173,   ECO:0000269|PubMed:14559997, ECO:0000269|PubMed:15659650,   ECO:0000269|PubMed:15665856, ECO:0000269|PubMed:16511572,   ECO:0000269|PubMed:16963448, ECO:0000269|PubMed:17296736,   ECO:0000269|PubMed:17380128, ECO:0000269|PubMed:18317453,   ECO:0000269|PubMed:18728393, ECO:0000269|PubMed:31316063,   ECO:0000269|PubMed:9278511};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] +   ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-   COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616,   ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;   Evidence={ECO:0000256|ARBA:ARBA00047899};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] +   ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-   COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616,   ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;   Evidence={ECO:0000269|PubMed:10673501, ECO:0000269|PubMed:12660173,   ECO:0000269|PubMed:14559997, ECO:0000269|PubMed:15659650,   ECO:0000269|PubMed:15665856, ECO:0000269|PubMed:16511572,   ECO:0000269|PubMed:16963448, ECO:0000269|PubMed:17296736,   ECO:0000269|PubMed:17380128, ECO:0000269|PubMed:18317453,   ECO:0000269|PubMed:18728393, ECO:0000269|PubMed:31316063,   ECO:0000269|PubMed:9278511};"
"General Annotations","UP_COMMENT_DISEASE","Oocyte/zygote/embryo maturation arrest 21 (OZEMA21) [MIM:620610]: An autosomal dominant, female infertility disorder characterized by zygote development arrest due to failure of pronuclei fusion. {ECO:0000269|PubMed:33948904, ECO:0000269|PubMed:33953335}. Note=The disease is caused by variants affecting the gene represented in this entry."
"General Annotations","UP_COMMENT_DOMAIN","The autoinhibitory region (AIR) inhibits the activity of the kinase domain. {ECO:0000269|PubMed:14681223}."
"General Annotations","UP_COMMENT_FUNCTION","Serine/threonine-protein kinase which is required for checkpoint-mediated cell cycle arrest and activation of DNA repair in response to the presence of DNA damage or unreplicated DNA (PubMed:11535615, PubMed:12399544, PubMed:12446774, PubMed:14559997, PubMed:14988723, PubMed:15311285, PubMed:15650047, PubMed:15665856, PubMed:32357935). May also negatively regulate cell cycle progression during unperturbed cell cycles (PubMed:11535615, PubMed:12399544, PubMed:12446774, PubMed:14559997, PubMed:14988723, PubMed:15311285, PubMed:15650047, PubMed:15665856). This regulation is achieved by a number of mechanisms that together help to preserve the integrity of the genome (PubMed:11535615, PubMed:12399544, PubMed:12446774, PubMed:14559997, PubMed:14988723, PubMed:15311285, PubMed:15650047, PubMed:15665856). Recognizes the substrate consensus sequence [R-X-X- S/T] (PubMed:11535615, PubMed:12399544, PubMed:12446774, PubMed:14559997, PubMed:14988723, PubMed:15311285, PubMed:15650047, PubMed:15665856). Binds to and phosphorylates CDC25A, CDC25B and CDC25C (PubMed:12676583, PubMed:12676925, PubMed:12759351, PubMed:14559997, PubMed:14681206, PubMed:19734889, PubMed:9278511). Phosphorylation of CDC25A at 'Ser-178' and 'Thr-507' and phosphorylation of CDC25C at 'Ser-216' creates binding sites for 14-3-3 proteins which inhibit CDC25A and CDC25C (PubMed:9278511). Phosphorylation of CDC25A at 'Ser- 76', 'Ser-124', 'Ser-178', 'Ser-279' and 'Ser-293' promotes proteolysis of CDC25A (PubMed:12676583, PubMed:12676925, PubMed:12759351, PubMed:14681206, PubMed:19734889, PubMed:9278511). Phosphorylation of CDC25A at 'Ser-76' primes the protein for subsequent phosphorylation at 'Ser-79', 'Ser-82' and 'Ser-88' by NEK11, which is required for polyubiquitination and degradation of CDCD25A (PubMed:19734889, PubMed:20090422, PubMed:9278511). Inhibition of CDC25 leads to increased inhibitory tyrosine phosphorylation of CDK-cyclin complexes and blocks cell cycle progression (PubMed:9278511). Also phosphorylates NEK6 (PubMed:18728393). Binds to and phosphorylates RAD51 at 'Thr-309', which promotes the release of RAD51 from BRCA2 and enhances the association of RAD51 with chromatin, thereby promoting DNA repair by homologous recombination (PubMed:15665856). Phosphorylates multiple sites within the C-terminus of TP53, which promotes activation of TP53 by acetylation and promotes cell cycle arrest and suppression of cellular proliferation (PubMed:10673501, PubMed:15659650, PubMed:16511572). Also promotes repair of DNA cross-links through phosphorylation of FANCE (PubMed:17296736). Binds to and phosphorylates TLK1 at 'Ser-743', which prevents the TLK1-dependent phosphorylation of the chromatin assembly factor ASF1A (PubMed:12660173, PubMed:12955071). This may enhance chromatin assembly both in the presence or absence of DNA damage (PubMed:12660173, PubMed:12955071). May also play a role in replication fork maintenance through regulation of PCNA (PubMed:18451105). May regulate the transcription of genes that regulate cell-cycle progression through the phosphorylation of histones (By similarity). Phosphorylates histone H3.1 (to form H3T11ph), which leads to epigenetic inhibition of a subset of genes (By similarity). May also phosphorylate RB1 to promote its interaction with the E2F family of transcription factors and subsequent cell cycle arrest (PubMed:17380128). Phosphorylates SPRTN, promoting SPRTN recruitment to chromatin (PubMed:31316063). Reduces replication stress and activates the G2/M checkpoint, by phosphorylating and inactivating PABIR1/FAM122A and promoting the serine/threonine-protein phosphatase 2A-mediated dephosphorylation and stabilization of WEE1 levels and activity (PubMed:33108758). {ECO:0000250|UniProtKB:O35280, ECO:0000269|PubMed:10673501, ECO:0000269|PubMed:11535615, ECO:0000269|PubMed:12399544, ECO:0000269|PubMed:12446774, ECO:0000269|PubMed:12660173, ECO:0000269|PubMed:12676583, ECO:0000269|PubMed:12676925, ECO:0000269|PubMed:12759351, ECO:0000269|PubMed:12955071, ECO:0000269|PubMed:14559997, ECO:0000269|PubMed:14681206, ECO:0000269|PubMed:14988723, ECO:0000269|PubMed:15311285, ECO:0000269|PubMed:15650047, ECO:0000269|PubMed:15659650, ECO:0000269|PubMed:15665856, ECO:0000269|PubMed:16511572, ECO:0000269|PubMed:17296736, ECO:0000269|PubMed:17380128, ECO:0000269|PubMed:18451105, ECO:0000269|PubMed:18728393, ECO:0000269|PubMed:19734889, ECO:0000269|PubMed:20090422, ECO:0000269|PubMed:31316063, ECO:0000269|PubMed:32357935, ECO:0000269|PubMed:33108758, ECO:0000269|PubMed:9278511}."
"General Annotations","UP_COMMENT_FUNCTION","[Isoform 2]: Endogenous repressor of isoform 1, interacts with, and antagonizes CHK1 to promote the S to G2/M phase transition. {ECO:0000269|PubMed:22184239}."
