"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Melanoma, cutaneous malignant, 3"
"Disease","UP_KW_DISEASE","Disease variant"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Protein kinase"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:P->S: No effect on in vitro phosphorylation by CDK7. Greatly reduced T-172 phosphorylation and enzyme activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Weak enzyme activity towards RB1, but no effect on binding of CCDN1 nor CCDN3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->E: Retains moderate enzyme activity."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Required for binding D-type cyclins"
"Gene Ontology","GOTERM_BP_DIRECT","G1/S transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","response to xenobiotic stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of fibroblast proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transcription initiation by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of type B pancreatic cell proliferation"
