"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Apoptosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Host-virus interaction"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Activator"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Methylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:DEF box"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Abolishes acetylation; when associated with R-117 and R-120."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Abolishes acetylation; when associated with R-117 and R-125."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Abolishes acetylation; when associated with R-120 and R-125."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Abrogates methylation by SETD7. Loss of interaction with L3MBTL3. Loss of ubiquitination by the CRL4-DCAF5 E3 ubiquitin ligase complex."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->E: Abolishes interaction with and repression of CEBPA and inhibition of adipogenesis."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Abrogates in vitro phosphorylation by CHEK2 and CHEK2-dependent stabilization of E2F1 upon DNA damage."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Decreased phosphorylation by GSK3B, leading to abolished interaction with USP11 and subsequent deubiquitination."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Decreased phosphorylation by GSK3B."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Y->C: No retinoblastoma protein binding. No effect on interaction with and repression of CEBPA."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Cyclin A:CDK2 binding"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Dimerization"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with BIRC2/c-IAP1"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Leucine-zipper"
"Functional Annotations","UP_SEQ_FEATURE","REGION:RB1 binding"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Required for interaction with TRIM28"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Transactivation"
"Gene Ontology","GOTERM_BP_DIRECT","DNA damage checkpoint signaling"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","spermatogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","intrinsic apoptotic signaling pathway in response to DNA damage"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","forebrain development"
"Gene Ontology","GOTERM_BP_DIRECT","response to lipopolysaccharide"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","anoikis"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of DNA binding"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of fat cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of fibroblast proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","mRNA stabilization"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of glial cell proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of fat cell proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to fatty acid"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to hypoxia"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to xenobiotic stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","intrinsic apoptotic signaling pathway by p53 class mediator"
"Gene Ontology","GOTERM_BP_DIRECT","lens fiber cell apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to nerve growth factor stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of G1/S transition of mitotic cell cycle"
"Gene Ontology","GOTERM_CC_DIRECT","nuclear chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","chromatin"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","transcription regulator complex"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","centrosome"
"Gene Ontology","GOTERM_CC_DIRECT","protein-containing complex"
"Gene Ontology","GOTERM_CC_DIRECT","Rb-E2F complex"
"Gene Ontology","GOTERM_CC_DIRECT","RNA polymerase II transcription regulator complex"
"Gene Ontology","GOTERM_MF_DIRECT","transcription cis-regulatory region binding"
"Gene Ontology","GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
