"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Weaver syndrome"
"Disease","UP_KW_DISEASE","Disease variant"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Biological rhythms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Chromatin regulator"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Methyltransferase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Repressor"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Glycoprotein"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","CARBOHYD:O-linked (GlcNAc) serine"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic residues"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:CXC"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Myb-like"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:SET"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->Y: Strongly impairs methyltransferase activity towards 'Lys-27' of histone H3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:F->I: Strongly decreases histone methyltransferase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:H->A: Abrogates methyltransferase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Enhances methyltransferase activity towards 'Lys-27' of histone H3 and abrogates phosphorylation by PKB/AKT1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Reduced protein stability."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Reduces methyltransferase activity towards 'Lys-27' of histone H3 and abrogates phosphorylation by PKB/AKT1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Impaired CDK1- and CDK-2 mediated phosphorylation and subsequent gene silencing. Altered EZH2-mediated cell proliferation and migration."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with CDYL"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with DNMT1, DNMT3A and DNMT3B"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with EED"
"Gene Ontology","GOTERM_BP_DIRECT","G1/S transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin organization"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin remodeling"
"Gene Ontology","GOTERM_BP_DIRECT","DNA methylation-dependent constitutive heterochromatin formation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","epidermal cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of epithelial to mesenchymal transition"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of gliogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration"
"Gene Ontology","GOTERM_BP_DIRECT","cardiac muscle hypertrophy in response to stress"
"Gene Ontology","GOTERM_BP_DIRECT","cerebellar cortex development"
"Gene Ontology","GOTERM_BP_DIRECT","hippocampus development"
"Gene Ontology","GOTERM_BP_DIRECT","hemopoiesis"
"Gene Ontology","GOTERM_BP_DIRECT","B cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","keratinocyte differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell migration"
"Gene Ontology","GOTERM_BP_DIRECT","regulatory ncRNA-mediated heterochromatin formation"
"Gene Ontology","GOTERM_BP_DIRECT","heterochromatin formation"
"Gene Ontology","GOTERM_BP_DIRECT","subtelomeric heterochromatin formation"
"Gene Ontology","GOTERM_BP_DIRECT","methylation"
"Gene Ontology","GOTERM_BP_DIRECT","response to estradiol"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of transcription elongation by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to trichostatin A"
"Gene Ontology","GOTERM_BP_DIRECT","protein modification process"
"Gene Ontology","GOTERM_BP_DIRECT","hepatocyte homeostasis"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of circadian rhythm"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of MAP kinase activity"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of GTPase activity"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of epidermal cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of keratinocyte differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of gene expression, epigenetic"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of retinoic acid receptor signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","rhythmic process"
"Gene Ontology","GOTERM_BP_DIRECT","stem cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of neurogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of striated muscle cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","synaptic transmission, GABAergic"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to hydrogen peroxide"
"Gene Ontology","GOTERM_BP_DIRECT","G1 to G0 transition"
"Gene Ontology","GOTERM_BP_DIRECT","protein localization to chromatin"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of protein serine/threonine kinase activity"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of kidney development"
"Gene Ontology","GOTERM_BP_DIRECT","liver regeneration"
"Gene Ontology","GOTERM_BP_DIRECT","facultative heterochromatin formation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of dendrite development"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cytokine production involved in inflammatory response"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell cycle G1/S phase transition"
