"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Apoptosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Glycolysis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Immunity"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Innate immunity"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Translation regulation"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Oxidoreductase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","ADP-ribosylation"
"Functional Annotations","UP_KW_PTM","Glycoprotein"
"Functional Annotations","UP_KW_PTM","Methylation"
"Functional Annotations","UP_KW_PTM","Oxidation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","S-nitrosylation"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Nucleophile"
"Functional Annotations","UP_SEQ_FEATURE","CARBOHYD:(Microbial infection) N-beta-linked (GlcNAc) arginine"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Glyceraldehyde 3-phosphate dehydrogenase NAD(P) binding"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:[IL]-x-C-x-x-[DE] motif"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->S: Markedly reduced glycolytic activity; when associated with S-152 and S-156. Forms free radical-induced aggregates, but to a lesser extent than wild-type protein; when associated with S-156 and S-247."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->S: Markedly reduced glycolytic activity; when associated with S-152 and S-247. Forms free radical-induced aggregates, but to a lesser extent than wild-type protein; when associated with S-156 and S-247."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->S: Markedly reduced glycolytic activity; when associated with S-156 and S-247. Forms free radical-induced aggregates, but to a lesser extent than wild-type protein; when associated with S-156 and S-247. Abolished interaction with TRAF2 and TRAF3."
