"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Apoptosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cell membrane"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:KA1"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Protein kinase"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Abolishes dependence to reducing agents; when associated with V-29; V-70; A-154; A-168; A-169; A-204; A-286 and A-339."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Abolishes dependence to reducing agents; when associated with V-29; V-70; A-89; A-154; A-168; A-169; A-204 and A-286."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Abolishes dependence to reducing agents; when associated with V-29; V-70; A-89; A-154; A-168; A-169; A-204; and A-339."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Abolishes dependence to reducing agents; when associated with V-29; V-70; A-89; A-154; A-168; A-169; A-286 and A-339."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Abolishes dependence to reducing agents; when associated with V-29; V-70; A-89; A-154; A-168; A-204; A-286 and A-339."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Abolishes dependence to reducing agents; when associated with V-29; V-70; A-89; A-154; A-169; A-204; A-286 and A-339."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Abolishes dependence to reducing agents; when associated with V-29; V-70; A-89; A-168; A-169; A-204; A-286 and A-339."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->V: Abolishes dependence to reducing agents; when associated with V-29; A-89; A-154; A-168; A-169; A-204; A-286 and A-339."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->V: Abolishes dependence to reducing agents; when associated with V-70; A-89; A-154; A-168; A-169; A-204; A-286 and A-339."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: Abolishes enzymatic activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:DDD->KKK: Inactive."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Abolishes activation of serine/threonine-protein kinase activity and has only weak activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Inactive."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Abolishes activation of serine/threonine-protein kinase activity and has only weak activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Inhibits interaction with PPP1R8."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: No effect on interaction with PPP1R8."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Strongly inhibits interaction with PPP1R8. Enhances enzymatic activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->D,E: Phosphomimetic mutant that has similar kinase activity as wild-type."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Y->F: Abolishes autophosphorylation on tyrosine but still active on exogenous substrates."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Autoinhibitory region"
"Functional Annotations","UP_SEQ_FEATURE","REGION:UBA-like"
"Gene Ontology","GOTERM_BP_DIRECT","G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","intrinsic apoptotic signaling pathway in response to oxidative stress"
"Gene Ontology","GOTERM_BP_DIRECT","hemopoiesis"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","protein autophosphorylation"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
"Gene Ontology","GOTERM_BP_DIRECT","neural precursor cell proliferation"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","spindle"
"Gene Ontology","GOTERM_CC_DIRECT","plasma membrane"
"Gene Ontology","GOTERM_CC_DIRECT","cell cortex"
"Gene Ontology","GOTERM_CC_DIRECT","membrane"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine/threonine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein tyrosine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","non-membrane spanning protein tyrosine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","calcium ion binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","lipid binding"
"Gene Ontology","GOTERM_MF_DIRECT","kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","transferase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine kinase activity"
"General Annotations","CHROMOSOME","9"
"General Annotations","CYTOGENETIC_LOCATION","9p13.2"
"General Annotations","ENTREZ_GENE_SUMMARY","Enables calcium ion binding activity; non-membrane spanning protein tyrosine kinase activity; and protein serine/threonine kinase activity. Involved in apoptotic process; cell population proliferation; and protein autophosphorylation. Located in cell cortex and plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]"
