"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Centromere"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Kinetochore"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:HORMA"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:F->A: Prevents formation of the closed conformation and interaction with CDC20; when associated with A-133."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:H->A: Prevents formation of the closed conformation and interaction with CDC20; when associated with A-133."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Leads to formation of the closed conformation; when associated with A-133."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Leads to formation the closed conformation and homodimerization. Reduces binding to MAD1L1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: Prevents aggregation and promotes formation of monomeric protein that slowly interconverts between the open and closed conformation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Abolishes phosphorylation on serine residues; when associated with A-170 and A-178."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Reduces phosphorylation on serine residues; when associated with A-170. Abolishes phosphorylation on serine residues; when associated with A-170 and A-195."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Reduces phosphorylation on serine residues; when associated with A-178. Abolishes phosphorylation on serine residues; when associated with A-178 and A-195."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Abolishes interaction with MAD1L1 and reduces interaction with CDC20; when associated with D-170 and D-195."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Abolishes interaction with MAD1L1 and reduces interaction with CDC20; when associated with D-178 and D-195."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Binds to the N and C-terminus of MAD1L1. Abolishes interaction with MAD1L1 and reduces interaction with CDC20; when associated with D-170 and D-178."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Prevents formation of the closed conformation and interaction with CDC20; when associated with A-133."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:V->A: Prevents formation of the closed conformation and interaction with CDC20; when associated with A-133."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:W->A: Prevents interaction with CDC20 and leads to formation of the closed conformation; when associated with A-133."
