"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Retinitis pigmentosa 67"
"Disease","UP_KW_DISEASE","Retinitis pigmentosa"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Chromosome partition"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Meiosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Centromere"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Microtubule"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Kinetochore"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Protein kinase"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: Loss of autophosphorylation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Loss of kinase activity and of ability to activate NEK11. Loss of phosphorylation of CCDC102B."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Loss of kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: No effect on kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Kinase activity increased by two fold."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Loss of kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Kinase activity decreased by two fold."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Loss of kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: No effect on kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->E: Kinase activity increased by two fold."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->E: Loss of kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with CEP85"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with PCNT"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with SAV1 and STK3/MST2"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Leucine-zipper"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Necessary for interaction with MAD1L1"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Required for microtubule binding and for localization to the centrosomes"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic sister chromatid segregation"
