"Main Category","Category","Terms"
"Functional Annotations","COG_ONTOLOGY","Chromatin structure and dynamics / Cell division and chromosome partitioning"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA condensation"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Nuclear condensin complex subunit 3 C-terminal"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 1"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 10"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 2"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 3"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 4"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 5"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 6"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 7"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 8"
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:HEAT 9"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic chromosome condensation"
"Gene Ontology","GOTERM_BP_DIRECT","chromosome condensation"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of chromosome separation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of chromosome condensation"
"Gene Ontology","GOTERM_CC_DIRECT","condensed chromosome, centromeric region"
"Gene Ontology","GOTERM_CC_DIRECT","condensed chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","condensed nuclear chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","condensin complex"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","cytosol"
"Gene Ontology","GOTERM_CC_DIRECT","membrane"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"General Annotations","CHROMOSOME","4"
"General Annotations","CYTOGENETIC_LOCATION","4p15.31"
"General Annotations","ENTREZ_GENE_SUMMARY","This gene encodes a subunit of the condensin complex, which is responsible for the condensation and stabilization of chromosomes during mitosis and meiosis. Phosphorylation of the encoded protein activates the condensin complex. There are pseudogenes for this gene on chromosomes 8 and 15. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2012]"
"General Annotations","UP_COMMENT_FUNCTION","Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases. {ECO:0000269|PubMed:11136719}."
"General Annotations","UP_COMMENT_INTERACTION","Q9BPX3; Q8N5I2: ARRDC1; NbExp=2; IntAct=EBI-970214, EBI-2339564; Q9BPX3; Q15021: NCAPD2; NbExp=2; IntAct=EBI-970214, EBI-1044041; Q9BPX3; Q15003: NCAPH; NbExp=9; IntAct=EBI-970214, EBI-1046410;"
"General Annotations","UP_COMMENT_MISCELLANEOUS","Overexpressed in some cancer lines and some tumor cells."
"General Annotations","UP_COMMENT_PTM","Phosphorylated by CDK1. Its phosphorylation, as well as that of NCAPD2 and NCAPH subunits, activates the condensin complex and is required for chromosome condensation (By similarity). {ECO:0000250}."
"General Annotations","UP_COMMENT_SEQUENCE_CAUTION","Sequence=AAH00827.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305}; Sequence=BAB14429.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305}; Sequence=BAB55165.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305};"
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the CND3 (condensin subunit 3) family. {ECO:0000256|ARBA:ARBA00006533}."
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the CND3 (condensin subunit 3) family. {ECO:0000305}."
"General Annotations","UP_COMMENT_SUBCELLULAR_LOCATION","Chromosome {ECO:0000256|ARBA:ARBA00004286}."
"General Annotations","UP_COMMENT_SUBCELLULAR_LOCATION","Nucleus. Cytoplasm. Chromosome. Note=In interphase cells, the majority of the condensin complex is found in the cytoplasm, while a minority of the complex is associated with chromatin. A subpopulation of the complex however remains associated with chromosome foci in interphase cells. During mitosis, most of the condensin complex is associated with the chromatin. At the onset of prophase, the regulatory subunits of the complex are phosphorylated by CDK1, leading to condensin's association with chromosome arms and to chromosome condensation. Dissociation from chromosomes is observed in late telophase."
"General Annotations","UP_COMMENT_SUBUNIT","Component of the condensin complex, which contains the SMC2 and SMC4 heterodimer, and three non SMC subunits that probably regulate the complex: NCAPH/BRRN1, NCAPD2/CAPD2 and NCAPG. {ECO:0000269|PubMed:11136719}."
"General Annotations","UP_COMMENT_TISSUE_SPECIFICITY","Highly expressed in testis. {ECO:0000269|PubMed:10910072}."
"Identifiers","ENTREZ_GENE_ID","64151"
"Identifiers","ENSEMBL_GENE_ID","ENSG00000109805"
"Identifiers","UNIPROT_ID","Q6NUR1_HUMAN"
"Identifiers","UNIPROT_ID","H0Y9Z8_HUMAN"
"Identifiers","UNIPROT_ID","D6RA93_HUMAN"
"Identifiers","UNIPROT_ID","CND3_HUMAN"
"Literature","GENERIF_SUMMARY","Mutation of threonines 308 and 322 to alanines results in defects in CAP-G localization with chromosomes during mitosis."
"Literature","GENERIF_SUMMARY","Data indicate that three genes, KIF14, NCAPG and CENPE that were upregulated in Pediatric high-grade gliomas (pHGGs) and were direct miR-137 or miR-6500-3p targets."
"Literature","GENERIF_SUMMARY","this study demonstrates that NCAPG plays an important role in the development and progression of hepatocellular carcinoma (HCC), and that it may be a novel therapeutic target for patients with HCC."
"Literature","GENERIF_SUMMARY","NCAPG was regulated by miR-99a-3p, and its overexpression was involved in castration-resistant prostate cancer pathogenesis."
"Literature","GENERIF_SUMMARY","NCAPG might play an oncogenic role in the development of liver cancer."
"Literature","GENERIF_SUMMARY","NCAPG as an essential oncogene for hepatocellular carcinoma tumor growth."
"Literature","GENERIF_SUMMARY","Novel key genes in triple-negative breast cancer identified by weighted gene co-expression network analysis."
"Literature","GENERIF_SUMMARY","NCAPG confers trastuzumab resistance via activating SRC/STAT3 signaling pathway in HER2-positive breast cancer."
"Literature","GENERIF_SUMMARY","Overexpression of NCAPG inhibits cardia adenocarcinoma apoptosis and promotes epithelial-mesenchymal transition through the Wnt/beta-catenin signaling pathway."
"Literature","GENERIF_SUMMARY","Propofol Represses Cell Growth and Metastasis by Modulating the Circular RNA Non-SMC Condensin I Complex Subunit G/MicroRNA-200a-3p/RAB5A Axis in Glioma."
"Literature","GENERIF_SUMMARY","Inhibition of NCAPG expression inactivates the Wnt/beta-catenin signal to suppresses endometrial cancer cell growth in vitro."
"Literature","GENERIF_SUMMARY","NCAPG, mediated by miR-378a-3p, regulates cell proliferation, cell cycle progression, and apoptosis of oral squamous cell carcinoma through the GSK-3beta/beta-catenin signaling."
"Literature","GENERIF_SUMMARY","NCAPG is a prognostic biomarker associated with vascular invasion in hepatocellular carcinoma."
"Literature","GENERIF_SUMMARY","NCAPG promotes the oncogenesis and progression of non-small cell lung cancer cells through upregulating LGALS1 expression."
"Literature","GENERIF_SUMMARY","NCAPG is a prognostic biomarker of immune infiltration in non-small-cell lung cancer."
"Literature","GENERIF_SUMMARY","Increased expression of NCAPG (Non-SMC condensing I complex subunit G) is associated with progression and poor prognosis of lung adenocarcinoma."
"Literature","GENERIF_SUMMARY","NCAPG Promotes the Proliferation of Renal Clear Cell Carcinoma via Mediating with CDK1."
"Literature","GENERIF_SUMMARY","NCAPG promotes tumorigenesis of bladder cancer through NF-kappaB signaling pathway."
"Literature","GENERIF_SUMMARY","Overexpression of NCAPG in ovarian cancer is associated with ovarian cancer proliferation and apoptosis via p38 MAPK signaling pathway."
"Literature","GENERIF_SUMMARY","The role of NCAPG in various of tumors."
"Literature","GENERIF_SUMMARY","NCAPG Promotes Pulmonary Artery Smooth Muscle Cell Proliferation as a Promising Therapeutic Target of Idiopathic Pulmonary Hypertension"
"Literature","GENERIF_SUMMARY","The U2AF65/circNCAPG/RREB1 feedback loop promotes malignant phenotypes of glioma stem cells through activating the TGF-beta pathway."
"Literature","GENERIF_SUMMARY","NCAPG as a novel prognostic biomarker in numerous cancers"
"Literature","GENERIF_SUMMARY","The Diagnostic and Therapeutic Value of NCAPG as a Proposed Biomarker Candidate in Acute Liver Failure."
"Literature","GENERIF_SUMMARY","Galectin-1-mediated high NCAPG expression correlates with poor prognosis in gastric cancer."
"Literature","GENERIF_SUMMARY","Reduced miR-99a-3p levels in systemic lupus erythematosus may promote B cell proliferation via NCAPG and the PI3K/AKT signaling pathway."
"Pathways","REACTOME_PATHWAY","Cell Cycle"
"Pathways","REACTOME_PATHWAY","Condensation of Prometaphase Chromosomes"
"Pathways","REACTOME_PATHWAY","Mitotic Prometaphase"
"Pathways","REACTOME_PATHWAY","M Phase"
"Pathways","REACTOME_PATHWAY","Cell Cycle, Mitotic"
"Protein Domains","INTERPRO","ARM-like"
"Protein Domains","INTERPRO","ARM-type_fold"
"Protein Domains","INTERPRO","Cnd3_C"
"Protein Domains","INTERPRO","CND3"
"Protein Domains","UP_KW_DOMAIN","Coiled coil"
"Protein Domains","UP_KW_DOMAIN","Repeat"

