"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Cowden syndrome 1"
"Disease","OMIM_DISEASE","Lhermitte-Duclos disease"
"Disease","OMIM_DISEASE","Prostate cancer, somatic"
"Disease","OMIM_DISEASE","Macrocephaly/autism syndrome"
"Disease","OMIM_DISEASE","Meningioma"
"Disease","OMIM_DISEASE","Glioma susceptibility 2"
"Disease","UP_KW_DISEASE","Tumor suppressor"
"Disease","UP_KW_DISEASE","Disease variant"
"Disease","UP_KW_DISEASE","Autism spectrum disorder"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Apoptosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Lipid metabolism"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Neurogenesis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Synapse"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Secreted"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cell projection"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Hydrolase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Protein phosphatase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Phosphocysteine intermediate"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:C2 tensin-type"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Phosphatase tensin-type"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Tyrosine specific protein phosphatases"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:PDZ domain-binding"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:A->P: Does not reduce phosphatase activity towards PtdIns(3,4,5)P3 and PtdIns(3,4)P2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:A->S: Does not reduce phosphatase activity towards PtdIns(3,4,5)P3 and PtdIns(3,4)P2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:A->V: Does not reduce phosphatase activity towards PtdIns(3,4,5)P3 and PtdIns(3,4)P2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Loss of protein phosphatase activity. Unable to inhibit focal adhesion formation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: 700-fold reduction in phosphatase activity towards PtdIns(3,4,5)P3. Loss of protein phosphatase activity. Unable to inhibit focal adhesion formation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:H->A: 75% reduction in phosphatase activity towards PtdIns(3,4,5)P3. Modest reduction in phosphatase activity towards PtdIns(3,4)P2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->A: No effect on MAGI2-, MAST2- and DLG1-binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->E: Cytoplasmic; when associated with E-13. Shows less tumor suppressive ability; when associated with E-13."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->E: Nuclear. Cytoplasmic; when associated with E-289. Shows less tumor suppressive ability; when associated with E-289."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->M: 85% reduction in phosphatase activity towards PtdIns(3,4,5)P3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->M: Reduced phosphatase activity towards PtdIns(3,4,5)P3, PtdIns(3,4)P2 and PtdIns(3)P."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Does not reduce phosphatase activity towards PtdIns(3,4,5)P3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->W: Loss of DLG1-, MAGI2-, MAGI3- and MAST2-binding. Decrease of protein stability."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:KANKDKANR->AAGADAANA: Reduces growth suppression activity and promotes anchorage-independent growth. Reduces binding to phospholipid membranes in vitro; phosphatase activity towards PtdIns(3,4,5)P3 is not affected."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:KMLKKDK->AAGAADA: Reduces the growth suppression activity and cells show anchorage-independent growth. Reduces binding to phospholipid membranes in vitro. Phosphatase activity towards PtdIns(3,4,5)P3 is not affected."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:M->I: Prevents expression of isoform 1 and increased expression of isoform alpha."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Q->A,E: 75% reduction in phosphatase activity towards PtdIns(3,4,5)P3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->M: Does not affect the ability to inhibit AKT/PKB activation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Decreased stability."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: No effect on interaction with DLC1 or p85."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A,D: 60% reduction in phosphatase activity towards PtdIns(3,4,5)P3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Decreased stability."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Loss of DLG1-binding. No effect on MAGI2- and MAST2-binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: No effect on interaction with DLC1 or p85."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Reduces phosphorylation of the C2 tensin-like domain and abolishes interaction with DLC1 following EGF stimulation. Abolishes phosphorylation of the C2 tensin-like domain; when associated with A-319."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Reduces phosphorylation of the C2 tensin-like domain and abolishes interaction with DLC1 following EGF stimulation. Abolishes phosphorylation of the C2 tensin-like domain; when associated with A-321."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->E: Constitutive interaction with DLC1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->Y: Constitutive interaction with DLC1 and interaction with p85 following EGF stimulation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:V->A: Loss of DLG1-, MAGI2-, MAGI3-, MAST1-, MAST2- and MAST3-binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Y->F: Significantly lower phosphatase activity, reduced protein stability and decreased growth-inhibitory effect."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Required for interaction with NOP53"
"Gene Ontology","GOTERM_BP_DIRECT","osteoblast differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","protein dephosphorylation"
"Gene Ontology","GOTERM_BP_DIRECT","lipid metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","phosphatidylinositol biosynthetic process"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","spindle assembly involved in female meiosis"
"Gene Ontology","GOTERM_BP_DIRECT","neuron-neuron synaptic transmission"
"Gene Ontology","GOTERM_BP_DIRECT","nervous system development"
"Gene Ontology","GOTERM_BP_DIRECT","synapse assembly"
"Gene Ontology","GOTERM_BP_DIRECT","central nervous system development"
"Gene Ontology","GOTERM_BP_DIRECT","heart development"
"Gene Ontology","GOTERM_BP_DIRECT","learning or memory"
"Gene Ontology","GOTERM_BP_DIRECT","locomotory behavior"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of macromolecule metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell communication"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of epithelial to mesenchymal transition"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of neuron projection development"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of neuron projection development"
"Gene Ontology","GOTERM_BP_DIRECT","cell migration"
"Gene Ontology","GOTERM_BP_DIRECT","dentate gyrus development"
"Gene Ontology","GOTERM_BP_DIRECT","central nervous system neuron axonogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of signaling"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell migration"
"Gene Ontology","GOTERM_BP_DIRECT","adult behavior"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of protein stability"
"Gene Ontology","GOTERM_BP_DIRECT","central nervous system myelin maintenance"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of peptidyl-serine phosphorylation"
"Gene Ontology","GOTERM_BP_DIRECT","multicellular organismal response to stress"
"Gene Ontology","GOTERM_BP_DIRECT","social behavior"
"Gene Ontology","GOTERM_BP_DIRECT","maternal behavior"
"Gene Ontology","GOTERM_BP_DIRECT","phosphatidylinositol 3-kinase/protein kinase B signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","locomotor rhythm"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of osteoblast differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell size"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of organ growth"
"Gene Ontology","GOTERM_BP_DIRECT","phosphatidylinositol dephosphorylation"
"Gene Ontology","GOTERM_BP_DIRECT","forebrain morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","cell motility"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of axonogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of developmental process"
"Gene Ontology","GOTERM_BP_DIRECT","protein stabilization"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of developmental process"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cellular component organization"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of multicellular organismal process"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of keratinocyte migration"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of focal adhesion assembly"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","rhythmic synaptic transmission"
"Gene Ontology","GOTERM_BP_DIRECT","synapse maturation"
"Gene Ontology","GOTERM_BP_DIRECT","prepulse inhibition"
"Gene Ontology","GOTERM_BP_DIRECT","dendritic spine morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of biological quality"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to electrical stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of excitatory postsynaptic potential"
"Gene Ontology","GOTERM_BP_DIRECT","presynaptic membrane assembly"
"Gene Ontology","GOTERM_BP_DIRECT","postsynaptic density assembly"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of intracellular signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell cycle G1/S phase transition"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of wound healing, spreading of epidermal cells"
