"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Breast cancer, somatic"
"Disease","OMIM_DISEASE","Colorectal cancer, somatic"
"Disease","OMIM_DISEASE","Hepatocellular carcinoma, somatic"
"Disease","OMIM_DISEASE","Macrodactyly, somatic"
"Disease","OMIM_DISEASE","Nevus, epidermal, somatic mosaic"
"Disease","OMIM_DISEASE","Ovarian cancer, somatic"
"Disease","OMIM_DISEASE","Keratosis, seborrheic, somatic"
"Disease","OMIM_DISEASE","Nonsmall cell lung cancer, somatic"
"Disease","OMIM_DISEASE","Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic"
"Disease","OMIM_DISEASE","Hemifacial myohyperplasia, somatic"
"Disease","OMIM_DISEASE","CLOVE syndrome, somatic"
"Disease","OMIM_DISEASE","CLAPO syndrome, somatic"
"Disease","OMIM_DISEASE","Gastric cancer, somatic"
"Disease","OMIM_DISEASE","Cowden syndrome 5"
"Disease","OMIM_DISEASE","Cerebral cavernous malformations 4, somatic"
"Disease","UP_KW_DISEASE","Disease variant"
"Disease","UP_KW_DISEASE","Proto-oncogene"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Angiogenesis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Lipid metabolism"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Phagocytosis"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:C2 PI3K-type"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:PI3K-ABD"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:PI3K-RBD"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:PI3K/PI4K catalytic"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:PIK helical"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Activation loop"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Catalytic loop"
"Functional Annotations","UP_SEQ_FEATURE","REGION:G-loop"
"Functional Annotations","UP_SEQ_FEATURE","SITE:Implicated in the recognition of ATP as well as PIP2. Also crucial for autophosphorylation of the p85alpha subunit"
"Gene Ontology","GOTERM_BP_DIRECT","angiogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","liver development"
"Gene Ontology","GOTERM_BP_DIRECT","vasculature development"
"Gene Ontology","GOTERM_BP_DIRECT","glucose metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","lipid metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","phagocytosis"
"Gene Ontology","GOTERM_BP_DIRECT","epidermal growth factor receptor signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","insulin receptor signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of lamellipodium assembly"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","response to activity"
"Gene Ontology","GOTERM_BP_DIRECT","response to muscle inactivity"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of macroautophagy"
"Gene Ontology","GOTERM_BP_DIRECT","cell migration"
"Gene Ontology","GOTERM_BP_DIRECT","actin cytoskeleton organization"
"Gene Ontology","GOTERM_BP_DIRECT","platelet activation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of actin filament depolymerization"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of TOR signaling"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to insulin stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","response to muscle stretch"
