"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Progesterone resistance"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Mitochondrion"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Mitochondrion outer membrane"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Receptor"
"Functional Annotations","UP_KW_PTM","Lipoprotein"
"Functional Annotations","UP_KW_PTM","Palmitate"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Pro residues"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO)"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO); alternate"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin); alternate"
"Functional Annotations","UP_SEQ_FEATURE","DNA_BIND:Nuclear receptor"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:NR LBD"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Nuclear receptor"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:LXXL motif 1"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:LXXL motif 2"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:Nuclear localization signal"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Great loss of sumoylation; when associated with R-7. Completely abolishes sumoylation; when associated with R-7 and R-531. Loss of CUEDC2-mediated protein degradation. Increased ligand-dependent transcriptional activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Some loss of sumoylation; when associated with R-531. Complete loss of sumoylation; when associated with R-388 and R-531."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Some loss of sumoylation; when associated with R-7. Completely abolishes sumoylation; when associated with R-7 and R-388."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Reduces transcriptional activation; when associated with A-115 and A-118."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Reduces transcriptional activation; when associated with A-115 and A-119."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Reduces transcriptional activation; when associated with A-118 and A-119."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Reduces transcriptional activation; when associated with A-55 and A-58."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Reduces transcriptional activation; when associated with A-55 and A-59."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Reduces transcriptional activation; when associated with A-58 and A-59."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Abolishes CDK2-induced activity in the absence, but not in the presence, of progestin. Delayed nuclear translocation in presence of progestin."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: No change in progestin-induced protein degradation; when associated with A-344. No change in sumoylation; when associated with A-294 and A-344."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: No effect on interaction with CUEDC2. Impaired progesterone-induced transcriptional activity. No CUEDC2- nor progestin-mediated protein degradation. No change in sumoylation; when associated with A-344 and A-345."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: No interaction with SP1. No change in progestin-induced protein degradation; when associated with A-345. No change in sumoylation; when associated with A-294 and A-345."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Decreases protein stability and increases progesterone-induced transcriptional activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:W->A,F,R: Reduces transcriptional activation."
"Functional Annotations","UP_SEQ_FEATURE","REGION:AF1; mediates transcriptional activation"
"Functional Annotations","UP_SEQ_FEATURE","REGION:AF2; mediates transcriptional activation"
"Functional Annotations","UP_SEQ_FEATURE","REGION:AF3; mediates transcriptional activation (in isoform B)"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Mediates transcriptional transrepression (in isoform A)"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Modulating, Pro-Rich"
"Functional Annotations","UP_SEQ_FEATURE","ZN_FING:NR C4-type"
"Gene Ontology","GOTERM_BP_DIRECT","ovulation from ovarian follicle"
"Gene Ontology","GOTERM_BP_DIRECT","epithelial cell maturation"
"Gene Ontology","GOTERM_BP_DIRECT","glandular epithelial cell maturation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","cell-cell signaling"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","nuclear receptor-mediated steroid hormone signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","mammary gland development"
"Gene Ontology","GOTERM_BP_DIRECT","paracrine signaling"
"Gene Ontology","GOTERM_BP_DIRECT","steroid hormone receptor signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","lung alveolus development"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of epithelial cell proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","progesterone receptor signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","maintenance of protein location in nucleus"
"Gene Ontology","GOTERM_BP_DIRECT","tertiary branching involved in mammary gland duct morphogenesis"
"Gene Ontology","GOTERM_CC_DIRECT","chromatin"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","mitochondrion"
"Gene Ontology","GOTERM_CC_DIRECT","mitochondrial outer membrane"
"Gene Ontology","GOTERM_CC_DIRECT","cytosol"
"Gene Ontology","GOTERM_CC_DIRECT","plasma membrane"
"Gene Ontology","GOTERM_CC_DIRECT","membrane"
"Gene Ontology","GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Gene Ontology","GOTERM_MF_DIRECT","DNA-binding transcription factor activity, RNA polymerase II-specific"
"Gene Ontology","GOTERM_MF_DIRECT","transcription coactivator binding"
"Gene Ontology","GOTERM_MF_DIRECT","DNA-binding transcription activator activity, RNA polymerase II-specific"
"Gene Ontology","GOTERM_MF_DIRECT","DNA binding"
"Gene Ontology","GOTERM_MF_DIRECT","DNA-binding transcription factor activity"
"Gene Ontology","GOTERM_MF_DIRECT","nuclear steroid receptor activity"
"Gene Ontology","GOTERM_MF_DIRECT","nuclear receptor activity"
"Gene Ontology","GOTERM_MF_DIRECT","signaling receptor binding"
"Gene Ontology","GOTERM_MF_DIRECT","steroid binding"
