"Main Category","Category","Terms"
"Disease","UP_KW_DISEASE","Proto-oncogene"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Chromosome partition"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA damage"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA repair"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Pro residues"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:D-box"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:SH3-binding"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:TEK-box 1"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:TEK-box 2"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Abolishes ubiquitination and subsequent degradation; when associated with A-61."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:P->A: Strongly reduces transforming capability; when associated with L-170; A-172 and L-173."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:PSPP->LSAL: Strongly reduces transforming capability; when associated with A-163."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: Abolishes ubiquitination and subsequent degradation; when associated with A-64."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Abolishes phosphorylation."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Gene Ontology","GOTERM_BP_DIRECT","DNA repair"
"Gene Ontology","GOTERM_BP_DIRECT","DNA damage response"
"Gene Ontology","GOTERM_BP_DIRECT","chromosome segregation"
