"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Deoxyribonucleotide synthesis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Oxidoreductase"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:Cy"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:RRI->ARA: Abolishes the interaction with CCNF. Lack of proteasomal degradation. Increase in the cellular concentration of dATP and dGTP, but not dCTP and dTTP, leading to an imbalance in dNTP pools and genome instability."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Enhances inhibitory effect on Wnt signaling."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->E: Prevents inhibitory effect on Wnt signaling."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Strongly reduces the interaction with CCNF. Lack of proteasomal degradation. Increase in the cellular concentration of dATP and dGTP, but not dCTP and dTTP, leading to an imbalance in dNTP pools and genome instability."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Gene Ontology","GOTERM_BP_DIRECT","blastocyst development"
"Gene Ontology","GOTERM_BP_DIRECT","ribonucleoside diphosphate metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","deoxyribonucleotide metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","deoxyribonucleotide biosynthetic process"
"Gene Ontology","GOTERM_BP_DIRECT","2'-deoxyribonucleotide biosynthetic process"
"Gene Ontology","GOTERM_BP_DIRECT","protein heterotetramerization"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of G1/S transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle phase transition"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
