"Main Category","Category","Terms"
"Disease","UP_KW_DISEASE","Disease variant"
"Disease","UP_KW_DISEASE","Progressive external ophthalmoplegia"
"Disease","UP_KW_DISEASE","Primary mitochondrial disease"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA synthesis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Mitochondrion"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Deoxynucleoside kinase"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:KEN box"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->A: Resistant to degradation in the mitotic exit phase."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:KE->AA: Resistant to degradation in the mitotic exit phase."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:KEN->AAA: Resistant to degradation in the mitotic exit phase."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: 30-fold higher KM for thymidine."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:M->I,A: 300-fold higher KM for thymidine."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Loss of phosphorylation. Constant expression during cell cycle. No effect on ATP-induced tetramerization."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Perturbes ATP-induced tetramerization. Retaines the enzymatic function with decreased thymidine affinity and catalytic efficiency."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->P: No effect on phosphorylation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->S: 50-fold higher KM for thymidine."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","TRANSIT:Mitochondrion"
"Gene Ontology","GOTERM_BP_DIRECT","nucleobase-containing compound metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","deoxyribonucleoside monophosphate biosynthetic process"
"Gene Ontology","GOTERM_BP_DIRECT","pyrimidine nucleoside salvage"
"Gene Ontology","GOTERM_BP_DIRECT","deoxycytidine metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","thymidine metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","thymidine biosynthetic process"
"Gene Ontology","GOTERM_BP_DIRECT","protein homotetramerization"
"Gene Ontology","GOTERM_BP_DIRECT","DNA biosynthetic process"
"Gene Ontology","GOTERM_BP_DIRECT","carbohydrate derivative metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","DNA synthesis involved in mitotic DNA replication"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","mitochondrion"
"Gene Ontology","GOTERM_CC_DIRECT","mitochondrial matrix"
"Gene Ontology","GOTERM_CC_DIRECT","cytosol"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","deoxycytidine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","thymidine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","zinc ion binding"
"Gene Ontology","GOTERM_MF_DIRECT","kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","transferase activity"
"Gene Ontology","GOTERM_MF_DIRECT","deoxynucleoside kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","nucleoside kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","identical protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","metal ion binding"
"General Annotations","CHROMOSOME","17"
"General Annotations","CYTOGENETIC_LOCATION","17q25.3"
"General Annotations","ENTREZ_GENE_SUMMARY","The protein encoded by this gene is a cytosolic enzyme that catalyzes the addition of a gamma-phosphate group to thymidine. This creates dTMP and is the first step in the biosynthesis of dTTP, which is one component required for DNA replication. The encoded protein, whose levels fluctuate depending on the cell cycle stage, can act as a low activity dimer or a high activity tetramer. High levels of this protein have been used as a biomarker for diagnosing and categorizing many types of cancers. [provided by RefSeq, Oct 2016]"
"General Annotations","UP_COMMENT_ALTERNATIVE_PRODUCTS","Event=Alternative splicing; Named isoforms=6; Name=1;   IsoId=O00142-1; Sequence=Displayed; Name=2;   IsoId=O00142-2; Sequence=VSP_003028; Name=3;   IsoId=O00142-3; Sequence=VSP_043503; Name=4;   IsoId=O00142-4; Sequence=VSP_044459; Name=5;   IsoId=O00142-5; Sequence=VSP_054606; Name=6;   IsoId=O00142-6; Sequence=VSP_058694;"
"General Annotations","UP_COMMENT_BIOPHYSICOCHEMICAL_PROPERTIES","Kinetic parameters:   KM=1.4 uM for thymidine {ECO:0000269|PubMed:22385435};   KM=0.54 uM for thymidine {ECO:0000269|PubMed:14697231};   KM=0.52 uM for AZT {ECO:0000269|PubMed:22385435};   Vmax=26.6 umol/min/mg enzyme toward thymidine   {ECO:0000269|PubMed:22385435};   Vmax=10 umol/min/mg enzyme toward AZT {ECO:0000269|PubMed:22385435};   Note=Kcats are 9.5 sec(-1) and 3.5 sec(-1) with thymidine and AZT as   substrates, respectively (PubMed:22385435). Kcat is 282 min(-1) with   thymidine (PubMed:14697231). {ECO:0000269|PubMed:14697231,   ECO:0000269|PubMed:22385435};"
"General Annotations","UP_COMMENT_BIOPHYSICOCHEMICAL_PROPERTIES","Kinetic parameters:   KM=16 uM for thymidine {ECO:0000269|PubMed:9989599};   KM=36 uM for 2'-deoxycytidine {ECO:0000269|PubMed:9989599};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=2'-deoxycytidine + ATP = dCMP + ADP + H(+);   Xref=Rhea:RHEA:46040, ChEBI:CHEBI:15378, ChEBI:CHEBI:15698,   ChEBI:CHEBI:30616, ChEBI:CHEBI:57566, ChEBI:CHEBI:456216;   EC=2.7.1.74; Evidence={ECO:0000256|ARBA:ARBA00051852}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:46041;   Evidence={ECO:0000256|ARBA:ARBA00051852};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=2'-deoxycytidine + ATP = dCMP + ADP + H(+);   Xref=Rhea:RHEA:46040, ChEBI:CHEBI:15378, ChEBI:CHEBI:15698,   ChEBI:CHEBI:30616, ChEBI:CHEBI:57566, ChEBI:CHEBI:456216;   EC=2.7.1.74; Evidence={ECO:0000269|PubMed:11687801,   ECO:0000305|PubMed:9989599}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:46041;   Evidence={ECO:0000269|PubMed:11687801, ECO:0000305|PubMed:9989599};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=2'-deoxyuridine + ATP = dUMP + ADP + H(+);   Xref=Rhea:RHEA:28206, ChEBI:CHEBI:15378, ChEBI:CHEBI:16450,   ChEBI:CHEBI:30616, ChEBI:CHEBI:246422, ChEBI:CHEBI:456216;   Evidence={ECO:0000256|ARBA:ARBA00052390}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:28207;   Evidence={ECO:0000256|ARBA:ARBA00052390};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=2'-deoxyuridine + ATP = dUMP + ADP + H(+);   Xref=Rhea:RHEA:28206, ChEBI:CHEBI:15378, ChEBI:CHEBI:16450,   ChEBI:CHEBI:30616, ChEBI:CHEBI:246422, ChEBI:CHEBI:456216;   Evidence={ECO:0000305|PubMed:9989599}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:28207;   Evidence={ECO:0000305|PubMed:9989599};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=thymidine + ATP = dTMP + ADP + H(+); Xref=Rhea:RHEA:19129,   ChEBI:CHEBI:15378, ChEBI:CHEBI:17748, ChEBI:CHEBI:30616,   ChEBI:CHEBI:63528, ChEBI:CHEBI:456216; EC=2.7.1.21;   Evidence={ECO:0000256|ARBA:ARBA00048113}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:19130;   Evidence={ECO:0000256|ARBA:ARBA00048113};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=thymidine + ATP = dTMP + ADP + H(+); Xref=Rhea:RHEA:19129,   ChEBI:CHEBI:15378, ChEBI:CHEBI:17748, ChEBI:CHEBI:30616,   ChEBI:CHEBI:63528, ChEBI:CHEBI:456216; EC=2.7.1.21;   Evidence={ECO:0000269|PubMed:11687801, ECO:0000269|PubMed:9989599}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:19130;   Evidence={ECO:0000269|PubMed:11687801, ECO:0000269|PubMed:9989599};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=thymidine + ATP = dTMP + ADP + H(+); Xref=Rhea:RHEA:19129,   ChEBI:CHEBI:15378, ChEBI:CHEBI:17748, ChEBI:CHEBI:30616,   ChEBI:CHEBI:63528, ChEBI:CHEBI:456216; EC=2.7.1.21;   Evidence={ECO:0000269|PubMed:14697231, ECO:0000269|PubMed:22385435}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:19130;   Evidence={ECO:0000305|PubMed:14697231, ECO:0000305|PubMed:22385435};"
"General Annotations","UP_COMMENT_DEVELOPMENTAL_STAGE","Significantly increased in the cells during progression to the S and M phases, and becomes barely detectable in the early G(1) phase by a proteolytic control during mitotic exit. {ECO:0000269|PubMed:14701726}."
"General Annotations","UP_COMMENT_DISEASE","Mitochondrial DNA depletion syndrome 2 (MTDPS2) [MIM:609560]: A disorder due to mitochondrial dysfunction characterized by childhood onset of muscle weakness associated with depletion of mtDNA in skeletal muscle. There is wide clinical variability; some patients have onset in infancy and show a rapidly progressive course with early death due to respiratory failure, whereas others have later onset of a slowly progressive myopathy. {ECO:0000269|PubMed:11687801, ECO:0000269|PubMed:12391347, ECO:0000269|PubMed:15639197, ECO:0000269|PubMed:15907288, ECO:0000269|PubMed:25446393}. Note=The disease is caused by variants affecting the gene represented in this entry."
"General Annotations","UP_COMMENT_DISEASE","Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3 (PEOB3) [MIM:617069]: A form of progressive external ophthalmoplegia, a mitochondrial myopathy characterized by progressive paralysis of the levator palpebrae, orbicularis oculi, and extraocular muscles. PEOB3 patients manifest adult-onset progressive external ophthalmoplegia and progressive proximal muscle weakness associated with muscle atrophy. {ECO:0000269|PubMed:21937588}. Note=The disease is caused by variants affecting the gene represented in this entry."
"General Annotations","UP_COMMENT_DOMAIN","KEN box sequence located in the C-terminal region is required for its mitotic degradation by the APC/C-FZR1 ubiquitin ligase and interaction capability with FZR1. {ECO:0000269|PubMed:14701726}."
