"Main Category","Category","Terms"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Tyrosine-protein kinase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Protein kinase"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: Loss of kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Loss of kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Gene Ontology","GOTERM_BP_DIRECT","nuclear division"
"Gene Ontology","GOTERM_BP_DIRECT","spindle organization"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic spindle organization"
"Gene Ontology","GOTERM_BP_DIRECT","chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic spindle assembly checkpoint signaling"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","female meiosis chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","meiotic spindle assembly checkpoint signaling"
"Gene Ontology","GOTERM_BP_DIRECT","protein localization to kinetochore"
"Gene Ontology","GOTERM_BP_DIRECT","protein localization to chromosome"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of SMAD protein signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","nuclear chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","repair of mitotic kinetochore microtubule attachment defect"
"Gene Ontology","GOTERM_BP_DIRECT","protein localization to meiotic spindle midzone"
"Gene Ontology","GOTERM_CC_DIRECT","kinetochore"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","spindle"
"Gene Ontology","GOTERM_CC_DIRECT","membrane"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine/threonine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine/threonine/tyrosine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein tyrosine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","transferase activity"
"Gene Ontology","GOTERM_MF_DIRECT","identical protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","kinetochore binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine kinase activity"
"General Annotations","CHROMOSOME","6"
"General Annotations","CYTOGENETIC_LOCATION","6q14.1"
"General Annotations","ENTREZ_GENE_SUMMARY","This gene encodes a dual specificity protein kinase with the ability to phosphorylate tyrosine, serine and threonine. Associated with cell proliferation, this protein is essential for chromosome alignment at the centromere during mitosis and is required for centrosome duplication. It has been found to be a critical mitotic checkpoint protein for accurate segregation of chromosomes during mitosis. Tumorigenesis may occur when this protein fails to degrade and produces excess centrosomes resulting in aberrant mitotic spindles. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2009]"
"General Annotations","UP_COMMENT_ACTIVITY_REGULATION","Inhibited by the ATP-competitive kinase inhibitor, SP600125."
"General Annotations","UP_COMMENT_ALTERNATIVE_PRODUCTS","Event=Alternative splicing; Named isoforms=2; Name=1;   IsoId=P33981-1; Sequence=Displayed; Name=2;   IsoId=P33981-2; Sequence=VSP_043072;"
