"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.74613068088795e-112,1.20601893421376,0.912,0.592,5.13744361576974e-108,"0","LDHB"
9.57198363119605e-88,2.39736569074813,0.447,0.108,1.31270183518223e-83,"0","CCR7"
1.35431856440599e-51,2.13652967588241,0.342,0.103,1.85731247922637e-47,"0","LEF1"
1.94295688433313e-47,1.19891324066858,0.629,0.359,2.66457107117446e-43,"0","NOSIP"
2.80608717233912e-44,1.52619972692082,0.443,0.185,3.84826794814587e-40,"0","PIK3IP1"
6.26944309951854e-43,1.9853073488952,0.33,0.112,8.59791426667972e-39,"0","PRKCQ-AS1"
1.33987757563287e-34,1.95636752128716,0.268,0.087,1.83750810722292e-30,"0","MAL"
1.99554142465615e-34,1.33771220403719,0.393,0.177,2.73668550977345e-30,"0","TCF7"
2.0396286257272e-19,1.1084863088827,0.425,0.258,2.79714669732229e-15,"0","C12orf57"
5.36187874217995e-19,1.35868439886823,0.276,0.137,7.35328050702558e-15,"0","FLT3LG"
0,6.64505608845263,0.975,0.121,0,"1","S100A8"
0,5.651790479768,0.909,0.059,0,"1","LGALS2"
0,6.18144673331318,0.996,0.215,0,"1","S100A9"
1.03495244101648e-295,5.98417657388839,0.667,0.027,1.41933377761e-291,"1","CD14"
1.65951876025223e-278,5.34534971742333,0.686,0.041,2.2758640278099e-274,"1","MS4A6A"
3.89129891956751e-268,4.74235792649738,1,0.516,5.33652733829489e-264,"1","LYZ"
1.5218947486486e-150,5.68257639011747,0.37,0.015,2.08712645829669e-146,"1","ASGR1"
7.07037457772656e-139,7.28084188073784,0.299,0.004,9.6963116958942e-135,"1","FOLR3"
6.65417118944552e-125,4.98273687068265,0.312,0.013,9.12553036920558e-121,"1","RBP7"
3.38074411674564e-121,6.73772996912494,0.277,0.006,4.63635248170497e-117,"1","S100A12"
3.51609796883414e-68,1.437784787933,0.75,0.326,4.82197675445915e-64,"2","IL7R"
3.43699589927423e-59,1.63060758913715,0.651,0.245,4.71349617626468e-55,"2","CD2"
2.96601892528193e-58,2.0893203253836,0.42,0.111,4.06759835413164e-54,"2","AQP3"
2.91574004298012e-42,1.51522768714599,0.397,0.124,3.99864589494294e-38,"2","TRAT1"
5.03051883729172e-34,1.87408403737323,0.263,0.07,6.89885353346187e-30,"2","CD40LG"
5.47719582393086e-32,1.4626722676364,0.366,0.136,7.51142635293878e-28,"2","TRADD"
4.94874166567966e-30,1.46089236132878,0.3,0.097,6.78670432031309e-26,"2","TTC39C"
