"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006334","nucleosome assembly","16/254","118/18870",4.96331517096562e-12,1.43142009530648e-08,1.31710711010572e-08,"H3C8/H1-5/H2BC7/H3C10/H2BC15/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"GO:0034728","nucleosome organization","16/254","138/18870",5.61809269465308e-11,8.10128966568974e-08,7.45432193853706e-08,"H3C8/H1-5/H2BC7/H3C10/H2BC15/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"GO:0065004","protein-DNA complex assembly","16/254","240/18870",1.72134303262393e-07,0.000165478443536247,0.000152263360885787,"H3C8/H1-5/H2BC7/H3C10/H2BC15/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"GO:0042730","fibrinolysis","6/254","27/18870",1.30928757497341e-06,0.000943996341555828,0.000868608941186306,"F2/VTN/FGG/CPB2/FGA/FGB",6
"GO:0030193","regulation of blood coagulation","8/254","68/18870",3.55340999573538e-06,0.00182686591801539,0.00168097269118797,"F2/HPSE/VTN/FGG/SERPINC1/CPB2/FGA/FGB",8
"GO:0019731","antibacterial humoral response","8/254","70/18870",4.43414057770726e-06,0.00182686591801539,0.00168097269118797,"H2BC7/H2BC11/KLK3/H2BC6/NCR3LG1/H2BC10/FGA/FGB",8
"GO:1900046","regulation of hemostasis","8/254","70/18870",4.43414057770726e-06,0.00182686591801539,0.00168097269118797,"F2/HPSE/VTN/FGG/SERPINC1/CPB2/FGA/FGB",8
"GO:0050818","regulation of coagulation","8/254","73/18870",6.09819955787665e-06,0.00219840094061453,0.00202283698492198,"F2/HPSE/VTN/FGG/SERPINC1/CPB2/FGA/FGB",8
"GO:0019730","antimicrobial humoral response","10/254","133/18870",1.29478953110688e-05,0.00414908111968027,0.00381773614961456,"CXCL13/H2BC7/F2/H2BC11/KLK3/H2BC6/NCR3LG1/H2BC10/FGA/FGB",10
"GO:0043270","positive regulation of monoatomic ion transport","12/254","214/18870",3.48161523216429e-05,0.00964297599967261,0.00887288944272379,"LEP/PLP1/TRPV3/F2/MS4A1/FXYD1/LRRC26/DRD1/CD19/GALR2/KCNH2/CNTN1",12
"GO:0030195","negative regulation of blood coagulation","6/254","48/18870",4.28465375499802e-05,0.00964297599967261,0.00887288944272379,"F2/VTN/FGG/CPB2/FGA/FGB",6
"GO:0042742","defense response to bacterium","15/254","330/18870",4.38781569048587e-05,0.00964297599967261,0.00887288944272379,"CXCL13/H2BC7/COLEC12/F2/H2BC11/VGF/GSDMD/KLK3/PPP1R11/H2BC6/NCR3LG1/H2BC10/FGA/HP/FGB",15
"GO:1900047","negative regulation of hemostasis","6/254","49/18870",4.82796195972087e-05,0.00964297599967261,0.00887288944272379,"F2/VTN/FGG/CPB2/FGA/FGB",6
"GO:1903035","negative regulation of response to wounding","8/254","97/18870",4.96779178107678e-05,0.00964297599967261,0.00887288944272379,"F2/KIAA0319/VTN/FGG/CPB2/MMRN1/FGA/FGB",8
"GO:0006959","humoral immune response","13/254","258/18870",5.01541747555788e-05,0.00964297599967261,0.00887288944272379,"CXCL13/H2BC7/C7/F2/MS4A1/H2BC11/KLK3/FCER2/H2BC6/NCR3LG1/H2BC10/FGA/FGB",13
"GO:0061045","negative regulation of wound healing","7/254","75/18870",6.71088361999266e-05,0.0115291831324163,0.0106084643685019,"F2/VTN/FGG/CPB2/MMRN1/FGA/FGB",7
"GO:0050819","negative regulation of coagulation","6/254","52/18870",6.79598173547424e-05,0.0115291831324163,0.0106084643685019,"F2/VTN/FGG/CPB2/FGA/FGB",6
"GO:0061041","regulation of wound healing","9/254","133/18870",8.03166268702552e-05,0.0128685084385453,0.0118408313649072,"F2/HPSE/VTN/FGG/SERPINC1/CPB2/MMRN1/FGA/FGB",9
"GO:0015711","organic anion transport","17/254","443/18870",0.000112285528433391,0.0167987937917155,0.0154572447437458,"GFAP/SLC7A5/LEP/ERFE/SLCO1B1/SLC26A3/PLA2G3/SLCO4C1/SLC2A14/SLC22A7/ATP1A2/AQP9/SLCO5A1/SLC4A4/ABCC3/SLC7A1/XK",17
"GO:1903034","regulation of response to wounding","10/254","173/18870",0.000121904585587062,0.0167987937917155,0.0154572447437458,"F2/HPSE/KIAA0319/VTN/FGG/SERPINC1/CPB2/MMRN1/FGA/FGB",10
"GO:1904064","positive regulation of cation transmembrane transport","9/254","141/18870",0.000125798324763451,0.0167987937917155,0.0154572447437458,"PLP1/F2/MS4A1/FXYD1/LRRC26/DRD1/CD19/GALR2/KCNH2",9
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","7/254","83/18870",0.000128146138494362,0.0167987937917155,0.0154572447437458,"CXCL13/H2BC7/F2/H2BC11/KLK3/H2BC6/H2BC10",7
"GO:0002385","mucosal immune response","5/254","39/18870",0.000168277145969281,0.0211004908250177,0.0194154089239614,"H2BC7/H2BC11/H2BC6/H2BC10/GP2",5
"GO:0034764","positive regulation of transmembrane transport","11/254","217/18870",0.000180151266282348,0.0216481771649288,0.0199193571183246,"SLC7A5/PLP1/ERFE/F2/MS4A1/FXYD1/LRRC26/DRD1/CD19/GALR2/KCNH2",11
"GO:1903522","regulation of blood circulation","12/254","258/18870",0.000206110591203972,0.0237769178012902,0.021878096860009,"LEP/DES/FXYD1/HCN4/ATP1A2/FGG/KCNH2/HSPB7/TMEM38B/FGA/KCNMB2/FGB",12
