Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1313225,2014-06-12 16:16:14,2014-06-02 14:37:40,52171238,5217123800,52171238,100,3454,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313225/SRR1313225.sralite.1,SRX559876,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624420,SAMN02821010,simple,9606,Homo sapiens,GSM1401811,,,,,,,no,,,,,GEO,SRA168404,,public,4CC61C76EF4C6489D47BAA9D39DFA83C,64BF497F5A47A736682A0A37B4CE5B39
SRR1313226,2014-06-12 16:16:14,2014-06-02 14:43:53,63923621,6392362100,63923621,100,4136,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313226/SRR1313226.sralite.1,SRX559877,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624421,SAMN02821026,simple,9606,Homo sapiens,GSM1401812,,,,,,,no,,,,,GEO,SRA168404,,public,99113D12D922A7476DA063E87C2EF077,0B3F21451020F2A4EF41D2B9678D73AB
SRR1313227,2014-06-12 16:16:14,2014-06-02 14:54:58,94030210,9403021000,94030210,100,6146,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313227/SRR1313227.sralite.1,SRX559878,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624422,SAMN02821027,simple,9606,Homo sapiens,GSM1401813,,,,,,,no,,,,,GEO,SRA168404,,public,94E2B7F5CC43CDCC1308B79766D626A5,F169977E2D336E70EA76EB864F0E39D1
SRR1313228,2014-06-12 16:16:14,2014-06-02 14:50:19,88230595,8823059500,88230595,100,5926,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313228/SRR1313228.sralite.1,SRX559879,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624423,SAMN02821028,simple,9606,Homo sapiens,GSM1401814,,,,,,,no,,,,,GEO,SRA168404,,public,D1F66821AB63960990FC6ECC3EB9B14D,7FEECF29ADF68DA9A05A8BF383E57416
SRR1313229,2014-06-12 16:16:14,2014-06-02 14:45:31,66508340,6650834000,66508340,100,4433,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313229/SRR1313229.sralite.1,SRX559880,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624424,SAMN02821030,simple,9606,Homo sapiens,GSM1401815,,,,,,,no,,,,,GEO,SRA168404,,public,57A582CF7DF8E44A48322A18840534F4,D5D24E4899C53CFADEB99A7AB261705D
SRR1313220,2014-06-12 16:16:14,2014-06-02 14:34:51,78578816,7857881600,78578816,100,5349,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313220/SRR1313220.sralite.1,SRX559871,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624414,SAMN02821022,simple,9606,Homo sapiens,GSM1401806,,,,,,,no,,,,,GEO,SRA168404,,public,D733BAE4483BFE397D731FEAFBDAF805,345B123D8ECA74C5C25CC7C7DDC316EC
SRR1313221,2014-06-12 16:16:14,2014-06-02 14:46:52,73074549,7307454900,73074549,100,4952,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313221/SRR1313221.sralite.1,SRX559872,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624417,SAMN02821008,simple,9606,Homo sapiens,GSM1401807,,,,,,,no,,,,,GEO,SRA168404,,public,B406551D5257D020A2D881D2B04D9A37,7FEB5FE4CB953A672ED70D4C4D9BF2C0
SRR1313222,2014-06-12 16:16:14,2014-06-02 15:04:20,62191343,6219134300,62191343,100,4054,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313222/SRR1313222.sralite.1,SRX559873,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624416,SAMN02821023,simple,9606,Homo sapiens,GSM1401808,,,,,,,no,,,,,GEO,SRA168404,,public,23347C2E6C1AD9EF3329001BDEC58495,2C67F845B45193E304EB852BC63DE58A
SRR1313223,2014-06-12 16:16:14,2014-06-02 14:43:50,53473417,5347341700,53473417,100,3550,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313223/SRR1313223.sralite.1,SRX559874,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624418,SAMN02821025,simple,9606,Homo sapiens,GSM1401809,,,,,,,no,,,,,GEO,SRA168404,,public,B524DF765DD089F5E2CC0DE2186E0BE6,1D5260DC8FCE75CB3EA4D769C904EBEB
SRR1313224,2014-06-12 16:16:14,2014-06-02 14:44:56,88077467,8807746700,88077467,100,5869,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/313/SRR1313224/SRR1313224.sralite.1,SRX559875,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP042620,PRJNA251383,2,251383,SRS624419,SAMN02821018,simple,9606,Homo sapiens,GSM1401810,,,,,,,no,,,,,GEO,SRA168404,,public,B86D1643052BC0989D0254FA8EB0E323,38F12796B9AAAB7BCB912E391742E2D3
