Geneid,SRR1313066,SRR1313067,SRR1313068,SRR1313078,SRR1313090,SRR1313091,SRR1313092,SRR1313094,SRR1313096,SRR1313099,SRR1313101,SRR1313111,SRR1313112,SRR1313113,SRR1313115,SRR1313118,SRR1313120,SRR1313123,SRR1313127,SRR1313128
DDX11L2,11,31,4,5,2,12,95,122,6,127,8,76,66,14,88,4,169,92,62,17
DDX11L1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASH7P,0,3,8,38,1,6,23,24,28,8,7,2,20,102,52,164,8,2,15,105
MIR6859-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-2HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290826,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000238009,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,2,0,0,0
ENSG00000239945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP27,1,6,3,2,5,13,1,9,2,11,1,17,1,3,2,1,38,0,4,17
ENSG00000268903,0,50,19,8,20,60,1,90,49,141,8,90,13,30,10,17,180,9,44,95
ENSG00000269981,0,116,32,3,19,44,1,49,28,90,21,117,11,28,6,20,89,12,49,46
ENSG00000239906,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,1
ENSG00000241860,0,0,1,1,0,0,0,1,1,6,0,1,0,1,2,1,0,1,1,4
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX11L17,0,0,0,5,0,2,12,15,1,14,0,4,8,0,2,0,13,2,0,1
WASH9P,26,111,88,228,56,92,87,122,400,239,120,152,103,148,237,29,196,44,174,158
MIR6859-2,0,0,0,0,0,12,0,0,0,10,1,0,0,0,0,0,0,0,0,0
ENSG00000228463,0,7,1,19,4,2,2,2,11,16,7,7,4,12,1,2,15,5,15,0
ENSG00000286448,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,1,0
RPL23AP24,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0
ENSG00000236601,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000290385,8,27,18,17,8,7,10,25,15,41,10,25,9,19,12,14,46,5,13,11
WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
