"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","17/177","66/11230",0.257575757575758,16.3422359185071,15.8185910857697,1.35349145344351e-16,8.47285649855638e-14,6.28304979966935e-14,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/KLK3/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-3214815","HDACs deacetylate histones","19/177","94/11230",0.202127659574468,12.824257723284,14.567676607578,2.77141304129927e-16,8.67452281926672e-14,6.43259553269989e-14,"H3C8/H2BC7/H2AC16/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2AC13/H2BC14/H3C1/H2AC15",19
"R-HSA-73728","RNA Polymerase I Promoter Opening","16/177","62/11230",0.258064516129032,16.3732458538363,15.3599854325213,1.06515210772301e-15,2.22261739811535e-13,1.64818273510824e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-5334118","DNA methylation","16/177","64/11230",0.25,15.861581920904,15.0877091720722,1.85249447644418e-15,2.89915385563514e-13,2.14986858976811e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-427359","SIRT1 negatively regulates rRNA expression","16/177","67/11230",0.238805970149254,15.1513618348933,14.701520830827,4.09069481707179e-15,5.12154991097388e-13,3.79788718806033e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-68616","Assembly of the ORC complex at the origin of replication","16/177","68/11230",0.235294117647059,14.9285476902625,14.5782828382443,5.27695877262234e-15,5.50562698610264e-13,4.08269968197623e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9821002","Chromatin modifications during the maternal to zygotic transition (MZT)","16/177","70/11230",0.228571428571429,14.502017756255,14.3394563594726,8.66608059687386e-15,6.78120806705379e-13,5.02860729371233e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9843970","Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex","16/177","70/11230",0.228571428571429,14.502017756255,14.3394563594726,8.66608059687386e-15,6.78120806705379e-13,5.02860729371233e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9710421","Defective pyroptosis","16/177","72/11230",0.222222222222222,14.0991839296924,14.1102399451527,1.39966338332042e-14,9.73543642176202e-13,7.219316398179e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9610379","HCMV Late Events","19/177","116/11230",0.163793103448276,10.3920709136957,12.8668503684866,1.65601451306777e-14,1.0063135941221e-12,7.46232209530595e-13,"H3C8/H2BC7/H2AC16/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2AC13/H2BC14/H3C1/H2AC15",19
"R-HSA-2299718","Condensation of Prophase Chromosomes","16/177","73/11230",0.219178082191781,13.9060444238062,13.9990304522717,1.76828267337749e-14,1.0063135941221e-12,7.46232209530595e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-212300","PRC2 methylates histones and DNA","16/177","75/11230",0.213333333333333,13.5352165725047,13.7830323408115,2.79077141987623e-14,1.34386377603271e-12,9.96542668959852e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","16/177","75/11230",0.213333333333333,13.5352165725047,13.7830323408115,2.79077141987623e-14,1.34386377603271e-12,9.96542668959852e-13,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9609690","HCMV Early Events","20/177","137/11230",0.145985401459854,9.2622376180461,12.3126220098384,3.20370370127166e-14,1.43251322642576e-12,1.06228070094797e-12,"H3C8/H2BC7/H2AC16/TUBB3/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2AC13/H2BC14/H3C1/H2AC15",20
"R-HSA-5578749","Transcriptional regulation by small RNAs","16/177","76/11230",0.210526315789474,13.3571216176033,13.678103515285,3.48711380420023e-14,1.45528882761956e-12,1.07916995624723e-12,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-5625740","RHO GTPases activate PKNs","17/177","93/11230",0.182795698924731,11.5977158131341,12.9863386180187,6.42705010176414e-14,2.51458335231522e-12,1.86469019399867e-12,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/KLK3/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",17
"R-HSA-912446","Meiotic recombination","16/177","87/11230",0.183908045977011,11.668290148711,12.6406809224314,3.28272928599662e-13,1.20881678413758e-11,8.9639852329691e-12,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-9616222","Transcriptional regulation of granulopoiesis","16/177","89/11230",0.179775280898876,11.4060813813242,12.472032195906,4.75999762430918e-13,1.65542139600975e-11,1.22757833469026e-11,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-5250924","B-WICH complex positively regulates rRNA expression","16/177","90/11230",0.177777777777778,11.2793471437539,12.3897139961906,5.71076674920735e-13,1.7874699925019e-11,1.32549901915813e-11,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
"R-HSA-73772","RNA Polymerase I Promoter Escape","16/177","90/11230",0.177777777777778,11.2793471437539,12.3897139961906,5.71076674920735e-13,1.7874699925019e-11,1.32549901915813e-11,"H3C8/H2BC7/H3C10/H2BC15/H2BC26/H2BC11/H4C5/H3C2/H2BC17/H3C6/H2BC6/H2BC10/H4C9/H2BC9/H2BC14/H3C1",16
