"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","cell division","18","53","428","18975","7.53e-16","8.12e-13","15.06","8.39e-13","7.69e-13","4.81e-17","RB1,UBE2C,PLK1,NCAPG,CENPA,AURKA,CDC20,CCNB2,CCNB1,MELK,PTTG1,CCND1,CDK4,BIRC5,NEK2,KIF2C,BUB1,MAD2L1"
"GOTERM_BP_DIRECT","chromosome segregation","9","53","110","18975","6.00e-10","3.24e-7","29.29","6.47e-7","3.07e-7","1.90e-11","TOP2A,PTTG1,BIRC5,TTK,KIF2C,NEK2,BRCA1,MKI67,BUB1"
"GOTERM_BP_DIRECT","chromatin remodeling","12","53","327","18975","1.08e-9","3.90e-7","13.14","1.17e-6","3.69e-7","7.95e-11","FOXA1,RB1,MYC,CHEK1,BRCA1,GATA3,BRCA2,ESR1,BUB1,ACTB,EZH2,AURKA"
"GOTERM_BP_DIRECT","cell population proliferation","11","53","267","18975","2.42e-9","5.22e-7","14.75","2.61e-6","4.94e-7","1.58e-10","RB1,MELK,CCND1,MYC,ERBB2,AKT1,GATA3,MKI67,BRCA2,TP53,EGFR"
"GOTERM_BP_DIRECT","regulation of cell cycle","11","53","267","18975","2.42e-9","5.22e-7","14.75","2.61e-6","4.94e-7","1.58e-10","FOXA1,RB1,CCND1,CDK4,PLK1,PTEN,E2F1,BRCA1,TP53,DTL,ACTB"
"GOTERM_BP_DIRECT","G2/M transition of mitotic cell cycle","7","53","54","18975","7.35e-9","1.32e-6","46.41","7.93e-6","1.25e-6","1.41e-10","CDC20,CCNB1,MELK,PLK1,CHEK1,BIRC5,AURKA"
"GOTERM_BP_DIRECT","mitotic spindle assembly checkpoint signaling","6","53","30","18975","1.72e-8","2.65e-6","71.60","1.85e-5","2.51e-6","2.00e-10","CDC20,PLK1,BIRC5,TTK,BUB1,MAD2L1"
"GOTERM_BP_DIRECT","G1/S transition of mitotic cell cycle","7","53","86","18975","1.25e-7","1.69e-5","29.14","1.35e-4","1.60e-5","3.99e-9","RB1,CCNB2,CCNB1,CCND1,CDK4,MYC,EZH2"
"GOTERM_BP_DIRECT","negative regulation of gene expression","10","53","348","18975","3.89e-7","4.29e-5","10.29","4.19e-4","4.07e-5","3.66e-8","RB1,CCNB1,PIK3CA,AKT1,PGR,GATA3,ESR1,TP53,EZH2,AURKA"
"GOTERM_BP_DIRECT","positive regulation of fibroblast proliferation","6","53","55","18975","3.98e-7","4.29e-5","39.06","4.29e-4","4.07e-5","9.26e-9","CCNB1,CDK4,MYC,E2F1,ESR1,EGFR"
"GOTERM_BP_DIRECT","positive regulation of G2/M transition of mitotic cell cycle","5","53","29","18975","1.13e-6","1.11e-4","61.73","1.22e-3","1.05e-4","1.58e-8","CCNB1,CCND1,CDK4,CHEK1,DTL"
"GOTERM_BP_DIRECT","regulation of gene expression","10","53","416","18975","1.71e-6","1.54e-4","8.61","1.85e-3","1.46e-4","1.94e-7","FOXA1,PIK3CA,CDH1,CDK4,MYC,CHEK1,PGR,TOB2,ESR1,EZH2"
"GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle","5","53","36","18975","2.77e-6","2.30e-4","49.72","2.98e-3","2.18e-4","4.95e-8","FOXA1,CCNB1,BIRC5,BRCA2,AURKA"
"GOTERM_BP_DIRECT","DNA damage response","11","53","578","18975","3.18e-6","2.45e-4","6.81","3.42e-3","2.32e-4","4.55e-7","TOP2A,FEN1,PCNA,PTTG1,CCND1,MYC,CHEK1,BRCA1,BRCA2,TP53,DTL"
"GOTERM_BP_DIRECT","phosphatidylinositol 3-kinase/protein kinase B signal transduction","6","53","94","18975","5.79e-6","4.17e-4","22.85","6.23e-3","3.95e-4","2.39e-7","PIK3CA,ERBB2,PTEN,AKT1,GATA3,EGFR"
"GOTERM_BP_DIRECT","apoptotic process","12","53","777","18975","6.57e-6","4.43e-4","5.53","7.06e-3","4.20e-4","1.16e-6","RB1,MELK,CHEK1,PTEN,E2F1,BIRC5,AKT1,GAPDH,TP53,BUB1,AURKA,MCM2"
"GOTERM_BP_DIRECT","chromosome organization","5","53","52","18975","1.23e-5","7.82e-4","34.42","1.32e-2","7.40e-4","3.30e-7","RB1,PTTG1,MYC,BRCA2,TP53"
"GOTERM_BP_DIRECT","positive regulation of cell population proliferation","10","53","540","18975","1.42e-5","8.49e-4","6.63","1.52e-2","8.04e-4","2.08e-6","CDC20,CCND1,CDK4,MYC,PTEN,BIRC5,TTK,EGFR,ACTB,EZH2"
"GOTERM_BP_DIRECT","mitotic spindle organization","5","53","58","18975","1.91e-5","1.08e-3","30.86","2.04e-2","1.03e-3","5.74e-7","CCNB1,PLK1,BIRC5,TTK,AURKA"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","14","53","1240","18975","2.15e-5","1.16e-3","4.04","2.29e-2","1.10e-3","5.19e-6","FOXA1,RB1,TOP2A,PTEN,BRCA1,GATA3,ESR1,EGFR,MUC1,MYC,E2F1,AKT1,PGR,TP53"
"GOTERM_BP_DIRECT","positive regulation of miRNA transcription","5","53","61","18975","2.33e-5","1.20e-3","29.35","2.48e-2","1.13e-3","7.40e-7","FOXA1,MYC,GATA3,TP53,EGFR"
"GOTERM_BP_DIRECT","cellular response to xenobiotic stimulus","5","53","67","18975","3.38e-5","1.66e-3","26.72","3.58e-2","1.57e-3","1.19e-6","RB1,PCNA,MYC,E2F1,TP53"
"GOTERM_BP_DIRECT","regulation of mitotic cell cycle","5","53","75","18975","5.28e-5","2.48e-3","23.87","5.54e-2","2.35e-3","2.09e-6","RB1,CDC20,PLK1,BIRC5,TP53"
"GOTERM_BP_DIRECT","liver regeneration","4","53","29","18975","6.74e-5","3.03e-3","49.38","7.02e-2","2.87e-3","1.22e-6","PCNA,CCND1,EZH2,AURKA"
"GOTERM_BP_DIRECT","response to xenobiotic stimulus","7","53","258","18975","7.19e-5","3.04e-3","9.71","7.46e-2","2.88e-3","7.16e-6","CCNB1,CCND1,CDH1,CDK4,MYC,GATA3,TP53"
"GOTERM_BP_DIRECT","response to UV-A","3","53","5","18975","7.33e-5","3.04e-3","214.81","7.60e-2","2.88e-3","2.05e-7","CCND1,AKT1,EGFR"
"GOTERM_BP_DIRECT","response to estradiol","5","53","87","18975","9.44e-5","3.77e-3","20.58","9.68e-2","3.57e-3","4.35e-6","FOXA1,PCNA,CCND1,ESR1,EZH2"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","9","53","540","18975","1.02e-4","3.84e-3","5.97","1.04e-1","3.63e-3","1.66e-5","KRT18,MYC,ERBB2,PLK1,BIRC5,AKT1,TP53,EGFR,AURKA"
"GOTERM_BP_DIRECT","double-strand break repair","5","53","89","18975","1.03e-4","3.84e-3","20.11","1.05e-1","3.63e-3","4.87e-6","FEN1,PLK1,BRCA1,BRCA2,TP53"
"GOTERM_BP_DIRECT","mitotic G2 DNA damage checkpoint signaling","4","53","37","18975","1.41e-4","5.08e-3","38.70","1.41e-1","4.81e-3","3.35e-6","PLK1,CHEK1,BRCA1,DTL"
"GOTERM_BP_DIRECT","mitotic sister chromatid segregation","4","53","38","18975","1.53e-4","5.33e-3","37.69","1.52e-1","5.05e-3","3.73e-6","PLK1,KIF2C,NEK2,MAD2L1"
"GOTERM_BP_DIRECT","regulation of cytokinesis","4","53","40","18975","1.79e-4","6.02e-3","35.80","1.75e-1","5.70e-3","4.60e-6","PLK1,KIF20A,BRCA2,AURKA"
"GOTERM_BP_DIRECT","regulation of developmental process","4","53","41","18975","1.92e-4","6.29e-3","34.93","1.87e-1","5.95e-3","5.09e-6","ERBB2,PTEN,GATA3,EGFR"
"GOTERM_BP_DIRECT","positive regulation of ubiquitin protein ligase activity","3","53","9","18975","2.62e-4","8.31e-3","119.34","2.46e-1","7.87e-3","1.71e-6","CDC20,UBE2C,PLK1"
"GOTERM_BP_DIRECT","neuron differentiation","6","53","225","18975","3.70e-4","1.14e-2","9.55","3.29e-1","1.08e-2","3.75e-5","FOXA1,RB1,CCND1,ERBB2,GATA3,EGFR"
"GOTERM_BP_DIRECT","positive regulation of G1/S transition of mitotic cell cycle","4","53","52","18975","3.90e-4","1.17e-2","27.54","3.44e-1","1.11e-2","1.33e-5","RRM2,CCND1,AKT1,EGFR"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","11","53","1030","18975","4.18e-4","1.22e-2","3.82","3.63e-1","1.16e-2","1.06e-4","FOXA1,RB1,PCNA,CCND1,MYC,PLK1,E2F1,GATA3,ESR1,TP53,EZH2"
"GOTERM_BP_DIRECT","positive regulation of gene expression","8","53","511","18975","4.62e-4","1.27e-2","5.60","3.93e-1","1.20e-2","8.00e-5","MYC,ERBB2,E2F1,AKT1,PGR,BRCA1,GATA3,TP53"
"GOTERM_BP_DIRECT","anoikis","3","53","12","18975","4.78e-4","1.27e-2","89.50","4.03e-1","1.20e-2","4.45e-6","PIK3CA,E2F1,AKT1"
"GOTERM_BP_DIRECT","intrinsic apoptotic signaling pathway in response to DNA damage","4","53","56","18975","4.86e-4","1.27e-2","25.57","4.08e-1","1.20e-2","1.79e-5","MYC,E2F1,BRCA1,BRCA2"
"GOTERM_BP_DIRECT","cellular response to UV","4","53","56","18975","4.86e-4","1.27e-2","25.57","4.08e-1","1.20e-2","1.79e-5","PCNA,MYC,PBK,TP53"
"GOTERM_BP_DIRECT","DNA replication","5","53","134","18975","4.95e-4","1.27e-2","13.36","4.14e-1","1.20e-2","3.56e-5","FEN1,PCNA,CHEK1,DTL,MCM2"
"GOTERM_BP_DIRECT","regulation of G1/S transition of mitotic cell cycle","4","53","58","18975","5.39e-4","1.35e-2","24.69","4.41e-1","1.28e-2","2.06e-5","RB1,CCND1,E2F1,ACTB"
"GOTERM_BP_DIRECT","positive regulation of mitotic metaphase/anaphase transition","3","53","13","18975","5.64e-4","1.38e-2","82.62","4.56e-1","1.31e-2","5.77e-6","RB1,CDC20,UBE2C"
"GOTERM_BP_DIRECT","mitotic cell cycle","5","53","141","18975","6.00e-4","1.44e-2","12.70","4.77e-1","1.36e-2","4.55e-5","PLK1,PBK,BIRC5,NEK2,AURKA"
