"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GAD_DISEASE","breast cancer","31","50","588","12755","3.19e-28","3.72e-25","13.45","3.72e-25","3.51e-25","2.26e-29","RB1,TOP2A,FEN1,PCNA,PTEN,TTK,GATA3,BRCA1,TYMS,BRCA2,EGFR,AURKA,CDC20,CCNB1,PTTG1,CCND1,CDH1,MYC,ERBB2,CHEK1,NEK2,BUB1,PLK1,ESR1,PIK3CA,CDK4,PGR,KIF2C,TP53,MCM2,MAD2L1"
"GAD_DISEASE","breast cancer","27","50","514","12755","6.99e-24","4.08e-21","13.40","8.15e-21","3.84e-21","4.97e-25","FOXA1,RB1,TOP2A,FEN1,PCNA,PTEN,GATA3,BRCA1,TYMS,BRCA2,EGFR,ACTB,AURKA,MUC1,PTTG1,CCND1,CDH1,MYC,ERBB2,CHEK1,NEK2,PLK1,ESR1,PIK3CA,CDK4,PGR,TP53"
"GAD_DISEASE","ovarian cancer","24","50","368","12755","5.53e-23","2.15e-20","16.64","6.46e-20","2.03e-20","3.13e-24","RB1,PLK1,PTEN,BRCA1,MKI67,TYMS,BRCA2,ESR1,AURKA,CDC20,CCNB2,MUC1,CCNB1,PTTG1,CCND1,CDH1,CDK4,MYC,ERBB2,E2F1,PGR,TP53,BUB1,MCM2"
"GAD_DISEASE","esophageal adenocarcinoma","20","50","351","12755","1.19e-17","3.46e-15","14.54","1.38e-14","3.26e-15","7.75e-19","RB1,PCNA,PTEN,BRCA1,TYMS,BRCA2,ESR1,EGFR,AURKA,CCNB1,PIK3CA,CCND1,CDH1,CDK4,ERBB2,CHEK1,BIRC5,AKT1,PGR,TP53"
"GAD_DISEASE","lung cancer","23","50","592","12755","4.58e-17","9.02e-15","9.91","5.35e-14","8.50e-15","4.47e-18","PCNA,PLK1,PTEN,BRCA1,GATA3,TYMS,BRCA2,ESR1,EGFR,AURKA,MUC1,PIK3CA,CCND1,CDH1,CDK4,MYC,ERBB2,CHEK1,BIRC5,AKT1,PGR,TP53,MAD2L1"
"GAD_DISEASE","lung cancer","22","50","515","12755","4.64e-17","9.02e-15","10.90","5.41e-14","8.50e-15","4.10e-18","RB1,FEN1,PCNA,PLK1,PTEN,BRCA1,GATA3,TYMS,BRCA2,ESR1,EGFR,AURKA,CCND1,CDH1,CDK4,MYC,ERBB2,CHEK1,AKT1,PGR,TP53,EZH2"
"GAD_DISEASE","colorectal cancer","20","50","423","12755","3.76e-16","6.27e-14","12.06","3.89e-13","5.91e-14","2.99e-17","RB1,PCNA,PTEN,TTK,BRCA1,TYMS,BRCA2,ESR1,EGFR,AURKA,PIK3CA,CCND1,CDH1,MYC,ERBB2,CHEK1,BIRC5,AKT1,PGR,TP53"
"GAD_DISEASE","chronic obstructive pulmonary disease","19","50","389","12755","1.74e-15","2.54e-13","12.46","2.07e-12","2.40e-13","1.25e-16","PCNA,PLK1,PTEN,BRCA1,GATA3,TYMS,BRCA2,ESR1,EGFR,AURKA,CCND1,CDH1,CDK4,MYC,ERBB2,CHEK1,AKT1,PGR,TP53"
"GAD_DISEASE","Endometrial Neoplasms","11","50","58","12755","1.19e-14","1.55e-12","48.38","1.39e-11","1.46e-12","2.03e-16","PIK3CA,ERBB2,PTEN,AKT1,PGR,BRCA1,TYMS,BRCA2,ESR1,TP53,EGFR"
"GAD_DISEASE","ovarian cancer","13","50","144","12755","1.74e-13","2.03e-11","23.03","2.03e-10","1.91e-11","6.97e-15","RB1,PCNA,BRCA1,BRCA2,ESR1,AURKA,PIK3CA,CCND1,CDK4,ERBB2,BIRC5,PGR,TP53"
"GAD_DISEASE","bladder cancer","19","50","527","12755","3.25e-13","3.44e-11","9.20","3.79e-10","3.25e-11","3.41e-14","PCNA,PLK1,PTEN,BRCA1,GATA3,TYMS,BRCA2,ESR1,EGFR,AURKA,CCND1,CDH1,CDK4,MYC,ERBB2,CHEK1,AKT1,PGR,TP53"
"GAD_DISEASE","epithelial ovarian cancer","13","50","170","12755","1.28e-12","1.24e-10","19.51","1.49e-9","1.17e-10","6.10e-14","PTEN,BRCA1,BRCA2,ESR1,EGFR,MUC1,PIK3CA,CCND1,ERBB2,CHEK1,E2F1,PGR,TP53"
"GAD_DISEASE","pharmacogenetic studies","11","50","106","12755","6.40e-12","5.74e-10","26.47","7.47e-9","5.41e-10","2.19e-13","TOP2A,CCND1,MYC,ERBB2,BRCA1,MKI67,TYMS,BRCA2,ESR1,TP53,EGFR"
"GAD_DISEASE","prostate cancer","17","50","506","12755","2.97e-11","2.47e-9","8.57","3.46e-8","2.33e-9","3.35e-12","PTEN,BRCA1,TYMS,BRCA2,ESR1,EGFR,AURKA,MUC1,PIK3CA,CCND1,CDH1,MYC,ERBB2,AKT1,PGR,TP53,EZH2"
"GAD_DISEASE","Breast Neoplasms","7","50","23","12755","2.25e-10","1.75e-8","77.64","2.63e-7","1.65e-8","2.15e-12","CCND1,PIK3CA,ERBB2,BRCA1,BRCA2,ESR1,EGFR"
"GAD_DISEASE","Carcinoma, Squamous Cell|Mouth Neoplasms|Neoplasm Metastasis|Squamous cell carcinoma","5","50","5","12755","9.58e-10","6.99e-8","255.10","1.12e-6","6.59e-8","7.54e-13","CCND1,MYC,ERBB2,TP53,EGFR"
"GAD_DISEASE","pancreatic neoplasm|Pancreatic Neoplasms","6","50","19","12755","7.58e-9","5.20e-7","80.56","8.84e-6","4.90e-7","6.94e-11","CDH1,BIRC5,BRCA1,BRCA2,TP53,EGFR"
"GAD_DISEASE","Brain Neoplasms|Glioblastoma","6","50","25","12755","3.40e-8","2.15e-6","61.22","3.97e-5","2.03e-6","4.45e-10","CDK4,PTEN,BRCA1,TP53,EGFR,AURKA"
"GAD_DISEASE","Pancreatic Neoplasms","10","50","189","12755","3.51e-8","2.15e-6","13.50","4.09e-5","2.03e-6","2.47e-9","RB1,PIK3CA,CDH1,MYC,ERBB2,PTEN,BRCA1,BRCA2,TP53,EGFR"
"GAD_DISEASE","esophageal cancer","7","50","53","12755","4.69e-8","2.74e-6","33.69","5.47e-5","2.58e-6","1.24e-9","RB1,CCND1,TYMS,BRCA2,TP53,EGFR,AURKA"
"GAD_DISEASE","Colorectal Neoplasms","8","50","103","12755","1.19e-7","6.32e-6","19.81","1.38e-4","5.96e-6","5.57e-9","PCNA,CCND1,PIK3CA,CDH1,BRCA1,TYMS,BRCA2,TP53"
"GAD_DISEASE","Chronic renal failure|Kidney Failure, Chronic","17","50","899","12755","1.19e-7","6.32e-6","4.82","1.39e-4","5.96e-6","2.41e-8","PCNA,BRCA1,TYMS,BRCA2,ESR1,CDC20,MUC1,CCND1,CDK4,MYC,ERBB2,CHEK1,PBK,BIRC5,NEK2,PGR,TP53"
"GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms","6","50","33","12755","1.49e-7","7.54e-6","46.38","1.73e-4","7.10e-6","2.72e-9","ERBB2,PGR,BRCA1,BRCA2,ESR1,TP53"
"GAD_DISEASE","Mouth Neoplasms|Precancerous Conditions","5","50","18","12755","5.65e-7","2.75e-5","70.86","6.60e-4","2.59e-5","6.22e-9","CCND1,CDK4,BRCA2,TP53,AURKA"
"GAD_DISEASE","endometrial cancer","6","50","44","12755","6.58e-7","3.07e-5","34.79","7.68e-4","2.90e-5","1.68e-8","CCND1,ERBB2,PTEN,PGR,ESR1,TP53"
"GAD_DISEASE","overall effect","5","50","20","12755","8.90e-7","4.00e-5","63.78","1.04e-3","3.77e-5","1.12e-8","RB1,ERBB2,PGR,ESR1,AURKA"
"GAD_DISEASE","stomach cancer","7","50","94","12755","1.48e-6","6.38e-5","19.00","1.72e-3","6.02e-5","7.26e-8","CCND1,CDH1,MYC,ERBB2,TYMS,TP53,EGFR"
"GAD_DISEASE","gastric cancer","6","50","53","12755","1.70e-6","7.07e-5","28.88","1.98e-3","6.66e-5","5.31e-8","CDH1,ERBB2,TYMS,TP53,EGFR,AURKA"
"GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms","4","50","7","12755","1.84e-6","7.42e-5","145.77","2.15e-3","7.00e-5","7.25e-9","AKT1,BRCA1,BRCA2,TP53"
"GAD_DISEASE","Leiomyoma|Uterine Neoplasms","5","50","27","12755","3.16e-6","1.23e-4","47.24","3.68e-3","1.16e-4","5.70e-8","CCND1,CDH1,PGR,ESR1,TP53"
"GAD_DISEASE","pancreatic cancer","6","50","63","12755","4.03e-6","1.52e-4","24.30","4.70e-3","1.43e-4","1.53e-7","CDK4,TYMS,BRCA2,TP53,EGFR,AURKA"
"GAD_DISEASE","Brain Neoplasms|Glioma","6","50","64","12755","4.36e-6","1.56e-4","23.92","5.08e-3","1.47e-4","1.68e-7","ERBB2,PTEN,BRCA1,BRCA2,TP53,EGFR"
"GAD_DISEASE","Retinal Neoplasms|Retinoblastoma","4","50","9","12755","4.40e-6","1.56e-4","113.38","5.13e-3","1.47e-4","2.59e-8","PIK3CA,PTEN,AKT1,TYMS"
"GAD_DISEASE","Brain Neoplasms|Glioma|meningioma|Neuroma, Acoustic|Neuromas, Acoustic","4","50","10","12755","6.27e-6","2.15e-4","102.04","7.30e-3","2.03e-4","4.31e-8","CCND1,CHEK1,PTEN,TP53"
"GAD_DISEASE","Endometriosis","6","50","70","12755","6.81e-6","2.27e-4","21.87","7.91e-3","2.14e-4","2.89e-7","PIK3CA,AKT1,PGR,ESR1,TP53,EGFR"
"GAD_DISEASE","esophageal cancer","6","50","80","12755","1.31e-5","4.26e-4","19.13","1.52e-2","4.02e-4","6.42e-7","PIK3CA,PTEN,AKT1,BRCA2,TP53,EGFR"
"GAD_DISEASE","cervical cancer","6","50","85","12755","1.77e-5","5.57e-4","18.01","2.04e-2","5.25e-4","9.21e-7","CCND1,CDH1,ERBB2,BIRC5,BRCA1,TP53"
"GAD_DISEASE","Helicobacter Infections|Stomach Neoplasms","5","50","42","12755","1.93e-5","5.93e-4","30.37","2.23e-2","5.59e-4","5.75e-7","MUC1,CCND1,CDH1,TYMS,TP53"
"GAD_DISEASE","head and neck cancer","6","50","90","12755","2.33e-5","6.98e-4","17.01","2.69e-2","6.58e-4","1.29e-6","CCND1,MKI67,TYMS,BRCA2,TP53,EGFR"
"GAD_DISEASE","anaplastic astrocytoma; glioblastoma multiforme","3","50","3","12755","4.33e-5","1.20e-3","255.10","4.92e-2","1.13e-3","5.67e-8","PTEN,TP53,EGFR"
"GAD_DISEASE","Hodgkin Disease|Neoplasms, Second Primary","3","50","3","12755","4.33e-5","1.20e-3","255.10","4.92e-2","1.13e-3","5.67e-8","BRCA1,BRCA2,TP53"
"GAD_DISEASE","Carcinoma|ovarian neoplasm|Ovarian Neoplasms","3","50","3","12755","4.33e-5","1.20e-3","255.10","4.92e-2","1.13e-3","5.67e-8","BRCA1,BRCA2,TP53"
"GAD_DISEASE","Glioma","4","50","19","12755","4.94e-5","1.34e-3","53.71","5.61e-2","1.26e-3","7.75e-7","CDK4,PTEN,TP53,EGFR"
"GAD_DISEASE","Colonic Neoplasms|Rectal Neoplasms","4","50","20","12755","5.80e-5","1.54e-3","51.02","6.55e-2","1.45e-3","9.67e-7","PIK3CA,PTEN,AKT1,TP53"
"GAD_DISEASE","Stomach Neoplasms","6","50","112","12755","6.69e-5","1.73e-3","13.67","7.51e-2","1.64e-3","4.65e-6","MUC1,CCND1,CDH1,BRCA1,TYMS,TP53"
"GAD_DISEASE","Esophageal Neoplasms|Head and Neck Neoplasms|Laryngeal Neoplasms|Mouth Neoplasms|Pharyngeal Neoplasms","5","50","59","12755","7.49e-5","1.90e-3","21.62","8.37e-2","1.79e-3","3.22e-6","PCNA,CDH1,ERBB2,TYMS,TP53"
"GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms|melanoma|ovarian neoplasm|Ovarian Neoplasms|Uveal Neoplasms","3","50","4","12755","8.63e-5","2.14e-3","191.32","9.58e-2","2.02e-3","2.26e-7","CDK4,BRCA1,BRCA2"
"GAD_DISEASE","Breast Neoplasms|","4","50","25","12755","1.15e-4","2.81e-3","40.82","1.26e-1","2.65e-3","2.49e-6","BRCA1,TYMS,BRCA2,TP53"
"GAD_DISEASE","lymphoma","5","50","69","12755","1.38e-4","3.28e-3","18.49","1.49e-1","3.10e-3","7.02e-6","TOP2A,RB1,MYC,TYMS,TP53"
"GAD_DISEASE","breast cancer colorectal cancer stomach cancer","3","50","5","12755","1.44e-4","3.28e-3","153.06","1.54e-1","3.10e-3","5.64e-7","PIK3CA,ERBB2,EGFR"
"GAD_DISEASE","Precursor T-Cell Lymphoblastic Leukemia-Lymphoma","3","50","5","12755","1.44e-4","3.28e-3","153.06","1.54e-1","3.10e-3","5.64e-7","PIK3CA,PTEN,AKT1"
"GAD_DISEASE","Leukemia, Lymphocytic, Chronic, B-Cell","7","50","211","12755","1.47e-4","3.31e-3","8.46","1.58e-1","3.12e-3","1.68e-5","TOP2A,CCND1,BIRC5,AKT1,TP53,EGFR,EZH2"
"GAD_DISEASE","Neoplasms","6","50","142","12755","2.05e-4","4.51e-3","10.78","2.13e-1","4.25e-3","1.82e-5","CCND1,CDH1,PTEN,BRCA1,BRCA2,TP53"
"GAD_DISEASE","Carcinoma|Stomach Neoplasms","3","50","6","12755","2.15e-4","4.56e-3","127.55","2.22e-1","4.29e-3","1.12e-6","MUC1,PIK3CA,CDH1"
"GAD_DISEASE","pancreas adenocarcinomas","3","50","6","12755","2.15e-4","4.56e-3","127.55","2.22e-1","4.29e-3","1.12e-6","BRCA1,BRCA2,TP53"
"GAD_DISEASE","rectal cancer","3","50","7","12755","3.00e-4","6.25e-3","109.33","2.95e-1","5.89e-3","1.96e-6","PIK3CA,TYMS,EGFR"
"GAD_DISEASE","Lymphoma, Follicular|Lymphoma, Large B-Cell, Diffuse","4","50","37","12755","3.78e-4","7.60e-3","27.58","3.56e-1","7.16e-3","1.25e-5","BRCA1,TYMS,BRCA2,TP53"
"GAD_DISEASE","cancer","4","50","37","12755","3.78e-4","7.60e-3","27.58","3.56e-1","7.16e-3","1.25e-5","MYC,BRCA1,TYMS,BRCA2"
"GAD_DISEASE","gastric carcinoma","3","50","8","12755","3.99e-4","7.89e-3","95.66","3.72e-1","7.44e-3","3.13e-6","CCND1,TP53,AURKA"
"GAD_DISEASE","Astrocytoma|Brain Neoplasms","3","50","10","12755","6.38e-4","1.24e-2","76.53","5.25e-1","1.17e-2","6.67e-6","PIK3CA,TP53,EGFR"
"GAD_DISEASE","Rectal Neoplasms","3","50","11","12755","7.78e-4","1.49e-2","69.57","5.97e-1","1.40e-2","9.15e-6","TYMS,TP53,EGFR"
"GAD_DISEASE","Abortion, Spontaneous","5","50","109","12755","7.95e-4","1.50e-2","11.70","6.05e-1","1.41e-2","6.48e-5","RRM2,TYMS,BRCA2,ESR1,TP53"
