"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","3.75","KEGG_PATHWAY","Breast cancer","15","44","148","8559","28.30","5.89e-15","5.51e-13","19.72","1.10e-12","3.98e-13","2.62e-16","RB1,PTEN,BRCA1,BRCA2,ESR1,EGFR,PIK3CA,CCND1,CDK4,MYC,ERBB2,E2F1,AKT1,PGR,TP53"
"1","3.75","KEGG_PATHWAY","Bladder cancer","9","44","41","8559","16.98","1.73e-11","1.08e-9","42.70","3.23e-9","7.76e-10","3.26e-13","RB1,CCND1,CDH1,CDK4,MYC,ERBB2,E2F1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Human T-cell leukemia virus 1 infection","14","44","222","8559","26.42","3.12e-11","1.46e-9","12.27","5.83e-9","1.05e-9","2.39e-12","RB1,PTEN,CDC20,CCNB2,PIK3CA,PTTG1,CCND1,CDK4,MYC,CHEK1,E2F1,AKT1,TP53,MAD2L1"
"1","3.75","KEGG_PATHWAY","Melanoma","10","44","73","8559","18.87","6.43e-11","2.41e-9","26.65","1.20e-8","1.74e-9","2.12e-12","RB1,CCND1,PIK3CA,CDH1,CDK4,PTEN,E2F1,AKT1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Pancreatic cancer","10","44","77","8559","18.87","1.05e-10","3.28e-9","25.26","1.97e-8","2.37e-9","3.69e-12","RB1,CCND1,PIK3CA,CDK4,ERBB2,E2F1,AKT1,BRCA2,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Cellular senescence","12","44","157","8559","22.64","1.93e-10","5.16e-9","14.87","3.61e-8","3.73e-9","1.21e-11","RB1,CCNB2,CCNB1,CCND1,PIK3CA,CDK4,MYC,CHEK1,PTEN,E2F1,AKT1,TP53"
"1","3.75","KEGG_PATHWAY","Endometrial cancer","9","44","59","8559","16.98","3.75e-10","8.76e-9","29.67","7.01e-8","6.33e-9","1.09e-11","CCND1,PIK3CA,CDH1,MYC,ERBB2,PTEN,AKT1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Endocrine resistance","10","44","97","8559","18.87","8.68e-10","1.80e-8","20.05","1.62e-7","1.30e-8","3.93e-11","RB1,CCND1,PIK3CA,CDK4,ERBB2,E2F1,AKT1,ESR1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Non-small cell lung cancer","9","44","73","8559","16.98","2.16e-9","4.04e-8","23.98","4.04e-7","2.92e-8","8.03e-11","RB1,CCND1,PIK3CA,CDK4,ERBB2,E2F1,AKT1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Glioma","9","44","76","8559","16.98","3.00e-9","5.09e-8","23.04","5.60e-7","3.68e-8","1.17e-10","RB1,CCND1,PIK3CA,CDK4,PTEN,E2F1,AKT1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Hepatocellular carcinoma","11","44","169","8559","20.75","7.54e-9","1.18e-7","12.66","1.41e-6","8.49e-8","5.60e-10","RB1,CCND1,PIK3CA,CDK4,MYC,PTEN,E2F1,AKT1,TP53,EGFR,ACTB"
"1","3.75","KEGG_PATHWAY","Small cell lung cancer","9","44","93","8559","16.98","1.52e-8","2.19e-7","18.82","2.84e-6","1.58e-7","7.39e-10","RB1,CCND1,PIK3CA,CDK4,MYC,PTEN,E2F1,AKT1,TP53"
"1","3.75","KEGG_PATHWAY","Gastric cancer","10","44","150","8559","18.87","4.16e-8","5.35e-7","12.97","7.78e-6","3.86e-7","3.01e-9","RB1,CCND1,PIK3CA,CDH1,MYC,ERBB2,E2F1,AKT1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Prostate cancer","9","44","106","8559","16.98","4.29e-8","5.35e-7","16.52","8.03e-6","3.86e-7","2.40e-9","RB1,CCND1,PIK3CA,ERBB2,PTEN,E2F1,AKT1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Progesterone-mediated oocyte maturation","9","44","110","8559","16.98","5.75e-8","6.72e-7","15.92","1.07e-5","4.85e-7","3.35e-9","CCNB2,CCNB1,PIK3CA,PLK1,AKT1,PGR,BUB1,MAD2L1,AURKA"
"1","3.75","KEGG_PATHWAY","Chronic myeloid leukemia","8","44","77","8559","15.09","8.98e-8","9.33e-7","20.21","1.68e-5","6.74e-7","4.04e-9","RB1,CCND1,PIK3CA,CDK4,MYC,E2F1,AKT1,TP53"
"1","3.75","KEGG_PATHWAY","Pathways in cancer","15","44","532","8559","28.30","1.59e-7","1.56e-6","5.48","2.97e-5","1.13e-6","2.81e-8","RB1,PTEN,BRCA2,ESR1,EGFR,PIK3CA,CCND1,CDH1,CDK4,MYC,ERBB2,E2F1,BIRC5,AKT1,TP53"
"1","3.75","KEGG_PATHWAY","Chemical carcinogenesis - receptor activation","10","44","216","8559","18.87","9.41e-7","8.38e-6","9.01","1.76e-4","6.05e-6","9.97e-8","RB1,CCND1,PIK3CA,MYC,E2F1,BIRC5,AKT1,PGR,ESR1,EGFR"
"1","3.75","KEGG_PATHWAY","Hepatitis C","9","44","159","8559","16.98","9.93e-7","8.44e-6","11.01","1.86e-4","6.09e-6","8.54e-8","RB1,CCND1,PIK3CA,CDK4,MYC,E2F1,AKT1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Central carbon metabolism in cancer","7","44","71","8559","13.21","1.26e-6","1.02e-5","19.18","2.35e-4","7.38e-6","6.00e-8","PIK3CA,MYC,ERBB2,PTEN,AKT1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Platinum drug resistance","7","44","74","8559","13.21","1.61e-6","1.25e-5","18.40","3.01e-4","9.05e-6","8.03e-8","TOP2A,PIK3CA,ERBB2,BIRC5,AKT1,BRCA1,TP53"
"1","3.75","KEGG_PATHWAY","FoxO signaling pathway","8","44","133","8559","15.09","3.78e-6","2.82e-5","11.70","7.06e-4","2.04e-5","3.05e-7","CCNB2,CCNB1,CCND1,PIK3CA,PLK1,PTEN,AKT1,EGFR"
"1","3.75","KEGG_PATHWAY","Colorectal cancer","7","44","87","8559","13.21","4.18e-6","3.01e-5","15.65","7.81e-4","2.17e-5","2.48e-7","CCND1,PIK3CA,MYC,BIRC5,AKT1,TP53,EGFR"
"1","3.75","KEGG_PATHWAY","Proteoglycans in cancer","9","44","204","8559","16.98","6.43e-6","4.45e-5","8.58","1.20e-3","3.21e-5","7.16e-7","CCND1,PIK3CA,MYC,ERBB2,AKT1,ESR1,TP53,EGFR,ACTB"
