"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","13.41","DISGENET","Breast Carcinoma","26","53","537","9587","49.06","3.22e-18","1.25e-15","8.76","2.50e-15","1.00e-15","3.52e-19","FOXA1,RB1,TOP2A,PTEN,GATA3,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
"1","13.41","DISGENET","Mammary Neoplasms, Human","25","53","524","9587","47.17","2.88e-17","4.88e-15","8.63","2.24e-14","3.92e-15","3.20e-18","FOXA1,RB1,TOP2A,PTEN,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
"1","13.41","DISGENET","Mammary Carcinoma, Human","25","53","524","9587","47.17","2.88e-17","4.88e-15","8.63","2.24e-14","3.92e-15","3.20e-18","FOXA1,RB1,TOP2A,PTEN,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
"1","13.41","DISGENET","Mammary Neoplasms","25","53","526","9587","47.17","3.14e-17","4.88e-15","8.60","2.44e-14","3.92e-15","3.51e-18","FOXA1,RB1,TOP2A,PTEN,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
"1","13.41","DISGENET","ovarian neoplasm","14","53","134","9587","26.42","1.72e-13","1.67e-11","18.90","1.33e-10","1.34e-11","8.19e-15","PTEN,BRCA1,MKI67,TYMS,BRCA2,ESR1,EGFR,PIK3CA,CDH1,MYC,ERBB2,BIRC5,AKT1,TP53"
"1","13.41","DISGENET","Malignant neoplasm of ovary","14","53","137","9587","26.42","2.30e-13","1.98e-11","18.48","1.78e-10","1.59e-11","1.12e-14","PTEN,BRCA1,MKI67,TYMS,BRCA2,ESR1,EGFR,PIK3CA,CDH1,MYC,ERBB2,BIRC5,AKT1,TP53"
"1","13.41","DISGENET","Malignant neoplasm of breast","26","53","1070","9587","49.06","2.90e-11","1.18e-9","4.40","2.25e-8","9.50e-10","6.44e-12","FOXA1,RB1,TOP2A,PTEN,GATA3,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
"1","13.41","DISGENET","Prostatic Neoplasms","19","53","615","9587","35.85","1.44e-9","3.61e-8","5.59","1.12e-6","2.90e-8","2.50e-10","FOXA1,RB1,TOP2A,PTEN,BRCA1,TYMS,BRCA2,ESR1,EGFR,AURKA,PIK3CA,CCND1,CDH1,MYC,ERBB2,BIRC5,AKT1,TP53,EZH2"
"1","13.41","DISGENET","Malignant neoplasm of prostate","19","53","615","9587","35.85","1.44e-9","3.61e-8","5.59","1.12e-6","2.90e-8","2.50e-10","FOXA1,RB1,TOP2A,PTEN,BRCA1,TYMS,BRCA2,ESR1,EGFR,AURKA,PIK3CA,CCND1,CDH1,MYC,ERBB2,BIRC5,AKT1,TP53,EZH2"
"2","9.95","DISGENET","Neoplasm of uncertain or unknown behavior of breast","11","53","41","9587","20.75","8.71e-15","9.66e-13","48.53","6.72e-12","7.75e-13","1.35e-16","FOXA1,RB1,PIK3CA,ERBB2,PTEN,AKT1,BRCA1,GATA3,BRCA2,ESR1,TP53"
"2","9.95","DISGENET","Breast adenocarcinoma","11","53","41","9587","20.75","8.71e-15","9.66e-13","48.53","6.72e-12","7.75e-13","1.35e-16","FOXA1,RB1,PIK3CA,ERBB2,PTEN,AKT1,BRCA1,GATA3,BRCA2,ESR1,TP53"
"2","9.95","DISGENET","ovarian neoplasm","14","53","134","9587","26.42","1.72e-13","1.67e-11","18.90","1.33e-10","1.34e-11","8.19e-15","PTEN,BRCA1,MKI67,TYMS,BRCA2,ESR1,EGFR,PIK3CA,CDH1,MYC,ERBB2,BIRC5,AKT1,TP53"
"2","9.95","DISGENET","Malignant neoplasm of ovary","14","53","137","9587","26.42","2.30e-13","1.98e-11","18.48","1.78e-10","1.59e-11","1.12e-14","PTEN,BRCA1,MKI67,TYMS,BRCA2,ESR1,EGFR,PIK3CA,CDH1,MYC,ERBB2,BIRC5,AKT1,TP53"
"2","9.95","DISGENET","Malignant Neoplasms","13","53","126","9587","24.53","2.07e-12","1.00e-10","18.66","1.60e-9","8.04e-11","1.00e-13","PTEN,BRCA1,ESR1,EGFR,AURKA,PIK3CA,CCND1,CDK4,MYC,ERBB2,E2F1,AKT1,TP53"
"2","9.95","DISGENET","Ovarian Carcinoma","9","53","30","9587","16.98","2.28e-12","1.04e-10","54.27","1.77e-9","8.36e-11","3.10e-14","PIK3CA,CDH1,ERBB2,PTEN,AKT1,BRCA1,BRCA2,ESR1,TP53"
"2","9.95","DISGENET","Lung Neoplasms","15","53","262","9587","28.30","6.41e-11","1.99e-9","10.36","4.98e-8","1.60e-9","5.87e-12","FEN1,PCNA,PTEN,TYMS,BRCA2,ESR1,EGFR,ACTB,PIK3CA,CCND1,MYC,ERBB2,BIRC5,AKT1,TP53"
"2","9.95","DISGENET","Malignant neoplasm of lung","15","53","263","9587","28.30","6.75e-11","2.01e-9","10.32","5.24e-8","1.62e-9","6.20e-12","FEN1,PCNA,PTEN,TYMS,BRCA2,ESR1,EGFR,ACTB,PIK3CA,CCND1,MYC,ERBB2,BIRC5,AKT1,TP53"
"2","9.95","DISGENET","Neoplasm of uncertain or unknown behavior of ovary","8","53","29","9587","15.09","1.29e-10","3.59e-9","49.90","1.00e-7","2.88e-9","1.97e-12","PIK3CA,ERBB2,PTEN,AKT1,BRCA1,BRCA2,ESR1,TP53"
"2","9.95","DISGENET","Prostatic Neoplasms","19","53","615","9587","35.85","1.44e-9","3.61e-8","5.59","1.12e-6","2.90e-8","2.50e-10","FOXA1,RB1,TOP2A,PTEN,BRCA1,TYMS,BRCA2,ESR1,EGFR,AURKA,PIK3CA,CCND1,CDH1,MYC,ERBB2,BIRC5,AKT1,TP53,EZH2"
