"User Ids","Gene Name","Category","Terms"
"ACTB","actin beta(ACTB)","GAD_DISEASE","breast cancer"
"ACTB","actin beta(ACTB)","GAD_DISEASE","monocyte chemoattractant protein 1 (66-77)"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Adenocarcinoma, Papillary|thyroid neoplasm|Thyroid Neoplasms"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Alzheimer's disease"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Amphetamine-Related Disorders"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","BMI- Edema rosiglitazone or pioglitazone"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Bipolar Disorder"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Bone Mineral Density"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Breast Neoplasms|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Carcinoma, Papillary, Follicular|Neoplasm Metastasis|Thyroid Neoplasms"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Carcinoma|Carcinoma, Papillary|Necrosis|Neoplasm Recurrence, Local|thyroid neoplasm|Thyroid Neoplasms"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Colonic Neoplasms|Rectal Neoplasms"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Dyskinesia, Drug-Induced"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Endometrial Neoplasms"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","Endometriosis"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","HIV"
"AKT1","AKT serine/threonine kinase 1(AKT1)","GAD_DISEASE","HIV Infections|[X]Human immunodeficiency virus disease"
