"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Colon cancer, susceptibility to"
"Disease","UP_KW_DISEASE","Proto-oncogene"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cilium biogenesis/degradation"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Microtubule"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cell projection"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cilium"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cell membrane"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Protein kinase"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Enhances stability; when associated with A-290."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Enhances stability; when associated with A-393."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->N: Abolishes cilia disassembly and kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:F->A: Decreases the interaction with phosphatase type 1 isoforms."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:G->N: Reduces interaction with TPX2. Reduces kinase activity tenfold. Promotes interaction with the AURKB binding partners INCENP and BIRC5 that are normally not bound by AURKA."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Loss of kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Q->A: Reduces binding to MYCN."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: Reduces ubiquitination and proteasomal degradation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: No direct effect on catalytic activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Reduces cilia disassembly and kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->D: Mimics phosphorylation state and increases kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->E: Enhances interaction with TPX2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Y->A: Reduces binding to MYCN."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Activation segment"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Gene Ontology","GOTERM_BP_DIRECT","G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","meiotic spindle organization"
"Gene Ontology","GOTERM_BP_DIRECT","microtubule cytoskeleton organization"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin remodeling"
"Gene Ontology","GOTERM_BP_DIRECT","protein phosphorylation"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","spindle organization"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic spindle organization"
"Gene Ontology","GOTERM_BP_DIRECT","spindle assembly involved in female meiosis I"
"Gene Ontology","GOTERM_BP_DIRECT","centrosome cycle"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic centrosome separation"
"Gene Ontology","GOTERM_BP_DIRECT","response to wounding"
"Gene Ontology","GOTERM_BP_DIRECT","anterior/posterior axis specification"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","peptidyl-serine phosphorylation"
"Gene Ontology","GOTERM_BP_DIRECT","cell projection organization"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of protein stability"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of protein binding"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of proteasomal ubiquitin-dependent protein catabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cytokinesis"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of microtubule-based process"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","proteasome-mediated ubiquitin-dependent protein catabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","cell cycle G2/M phase transition"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of mitotic nuclear division"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of centrosome cycle"
"Gene Ontology","GOTERM_BP_DIRECT","protein autophosphorylation"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
"Gene Ontology","GOTERM_BP_DIRECT","meiotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","centrosome localization"
"Gene Ontology","GOTERM_BP_DIRECT","cilium disassembly"
"Gene Ontology","GOTERM_BP_DIRECT","protein localization to centrosome"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell cycle process"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of mitochondrial fission"
"Gene Ontology","GOTERM_BP_DIRECT","liver regeneration"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of oocyte maturation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of signal transduction by p53 class mediator"
"Gene Ontology","GOTERM_BP_DIRECT","neuron projection extension"
"Gene Ontology","GOTERM_CC_DIRECT","kinetochore"
"Gene Ontology","GOTERM_CC_DIRECT","spindle pole"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","centrosome"
"Gene Ontology","GOTERM_CC_DIRECT","centriole"
"Gene Ontology","GOTERM_CC_DIRECT","microtubule organizing center"
"Gene Ontology","GOTERM_CC_DIRECT","spindle"
"Gene Ontology","GOTERM_CC_DIRECT","cytosol"
"Gene Ontology","GOTERM_CC_DIRECT","cytoskeleton"
"Gene Ontology","GOTERM_CC_DIRECT","microtubule"
"Gene Ontology","GOTERM_CC_DIRECT","spindle microtubule"
"Gene Ontology","GOTERM_CC_DIRECT","plasma membrane"
"Gene Ontology","GOTERM_CC_DIRECT","cilium"
"Gene Ontology","GOTERM_CC_DIRECT","postsynaptic density"
"Gene Ontology","GOTERM_CC_DIRECT","microtubule cytoskeleton"
"Gene Ontology","GOTERM_CC_DIRECT","membrane"
"Gene Ontology","GOTERM_CC_DIRECT","basolateral plasma membrane"
"Gene Ontology","GOTERM_CC_DIRECT","midbody"
"Gene Ontology","GOTERM_CC_DIRECT","spindle pole centrosome"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome passenger complex"
"Gene Ontology","GOTERM_CC_DIRECT","ciliary basal body"
"Gene Ontology","GOTERM_CC_DIRECT","germinal vesicle"
"Gene Ontology","GOTERM_CC_DIRECT","cell projection"
"Gene Ontology","GOTERM_CC_DIRECT","neuron projection"
"Gene Ontology","GOTERM_CC_DIRECT","axon hillock"
"Gene Ontology","GOTERM_CC_DIRECT","pronucleus"
"Gene Ontology","GOTERM_CC_DIRECT","perinuclear region of cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","spindle midzone"
"Gene Ontology","GOTERM_CC_DIRECT","mitotic spindle"
"Gene Ontology","GOTERM_CC_DIRECT","meiotic spindle"
"Gene Ontology","GOTERM_CC_DIRECT","mitotic spindle pole"
"Gene Ontology","GOTERM_CC_DIRECT","glutamatergic synapse"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine/threonine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine/threonine/tyrosine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","transferase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein kinase binding"
"Gene Ontology","GOTERM_MF_DIRECT","ubiquitin protein ligase binding"
"Gene Ontology","GOTERM_MF_DIRECT","histone H3S10 kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein heterodimerization activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein serine kinase activity"
"Gene Ontology","GOTERM_MF_DIRECT","molecular function activator activity"
"General Annotations","CHROMOSOME","20"
"General Annotations","CYTOGENETIC_LOCATION","20q13.2"
"General Annotations","ENTREZ_GENE_SUMMARY","The protein encoded by this gene is a cell cycle-regulated kinase that appears to be involved in microtubule formation and/or stabilization at the spindle pole during chromosome segregation. The encoded protein is found at the centrosome in interphase cells and at the spindle poles in mitosis. This gene may play a role in tumor development and progression. A processed pseudogene of this gene has been found on chromosome 1, and an unprocessed pseudogene has been found on chromosome 10. Multiple transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]"
"General Annotations","UP_COMMENT_ACTIVITY_REGULATION","Activation of CDK1, appears to be an upstream event of AURKA activation. Phosphatase inhibitor-2 (PPP1R2) and TPX2 act also as activators. Inactivated by the G2 checkpoint. Inhibited by GADD45A and p53/TP53, and through dephosphorylation by protein phosphatase type 1 (PP1). MLN8054 is also a potent and selective inhibitor. Activated during the early phase of cilia disassembly in the presence of CIMAP3. Inhibited by the small molecule inhibitor VX-680 (PubMed:28218735). {ECO:0000269|PubMed:11039908, ECO:0000269|PubMed:12390251, ECO:0000269|PubMed:17360485, ECO:0000269|PubMed:28218735}."
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP +   H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-   COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616,   ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1;   Evidence={ECO:0000256|ARBA:ARBA00048679};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-seryl-[protein] + ATP = O-phospho-L-seryl-[protein] + ADP +   H(+); Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-   COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616,   ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1;   Evidence={ECO:0000269|PubMed:12237287, ECO:0000269|PubMed:16337122,   ECO:0000269|PubMed:19140666, ECO:0000269|PubMed:19402633,   ECO:0000269|PubMed:27192185, ECO:0000269|PubMed:27837025,   ECO:0000269|PubMed:28218735};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] +   ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-   COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616,   ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;   Evidence={ECO:0000256|ARBA:ARBA00047899};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] +   ADP + H(+); Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-   COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616,   ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;   Evidence={ECO:0000269|PubMed:12237287, ECO:0000269|PubMed:16337122,   ECO:0000269|PubMed:19140666, ECO:0000269|PubMed:19402633,   ECO:0000269|PubMed:27837025, ECO:0000269|PubMed:28218735};"
"General Annotations","UP_COMMENT_FUNCTION","Mitotic serine/threonine kinase that contributes to the regulation of cell cycle progression (PubMed:11039908, PubMed:12390251, PubMed:17125279, PubMed:17360485, PubMed:18615013, PubMed:26246606). Associates with the centrosome and the spindle microtubules during mitosis and plays a critical role in various mitotic events including the establishment of mitotic spindle, centrosome duplication, centrosome separation as well as maturation, chromosomal alignment, spindle assembly checkpoint, and cytokinesis (PubMed:14523000, PubMed:26246606). Required for normal spindle positioning during mitosis and for the localization of NUMA1 and DCTN1 to the cell cortex during metaphase (PubMed:27335426). Required for initial activation of CDK1 at centrosomes (PubMed:13678582, PubMed:15128871). Phosphorylates numerous target proteins, including ARHGEF2, BORA, BRCA1, CDC25B, DLGP5, HDAC6, KIF2A, LATS2, NDEL1, PARD3, PPP1R2, PLK1, RASSF1, TACC3, p53/TP53 and TPX2 (PubMed:11551964, PubMed:14702041, PubMed:15128871, PubMed:15147269, PubMed:15987997, PubMed:17604723, PubMed:18056443, PubMed:18615013). Phosphorylates MCRS1 which is required for MCRS1- mediated kinetochore fiber assembly and mitotic progression (PubMed:27192185). Regulates KIF2A tubulin depolymerase activity (PubMed:19351716). Important for microtubule formation and/or stabilization (PubMed:18056443). Required for normal axon formation (PubMed:19812038). Plays a role in microtubule remodeling during neurite extension (PubMed:19668197). Also acts as a key regulatory component of the p53/TP53 pathway, and particularly the checkpoint- response pathways critical for oncogenic transformation of cells, by phosphorylating and destabilizing p53/TP53 (PubMed:14702041). Phosphorylates its own inhibitors, the protein phosphatase type 1 (PP1) isoforms, to inhibit their activity (PubMed:11551964). Inhibits cilia outgrowth (By similarity). Required for cilia disassembly via phosphorylation of HDAC6 and subsequent deacetylation of alpha-tubulin (PubMed:17604723, PubMed:20643351). Regulates protein levels of the anti-apoptosis protein BIRC5 by suppressing the expression of the SCF(FBXL7) E3 ubiquitin-protein ligase substrate adapter FBXL7 through the phosphorylation of the transcription factor FOXP1 (PubMed:28218735). {ECO:0000250|UniProtKB:A0A8I3S724, ECO:0000269|PubMed:11039908, ECO:0000269|PubMed:11551964, ECO:0000269|PubMed:12390251, ECO:0000269|PubMed:13678582, ECO:0000269|PubMed:14523000, ECO:0000269|PubMed:14702041, ECO:0000269|PubMed:15128871, ECO:0000269|PubMed:15147269, ECO:0000269|PubMed:15987997, ECO:0000269|PubMed:17125279, ECO:0000269|PubMed:17360485, ECO:0000269|PubMed:17604723, ECO:0000269|PubMed:18056443, ECO:0000269|PubMed:18615013, ECO:0000269|PubMed:19351716, ECO:0000269|PubMed:19668197, ECO:0000269|PubMed:19812038, ECO:0000269|PubMed:20643351, ECO:0000269|PubMed:26246606, ECO:0000269|PubMed:27192185, ECO:0000269|PubMed:27335426, ECO:0000269|PubMed:28218735}."
