"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Apoptosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Chromosome partition"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Host-virus interaction"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Centromere"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Microtubule"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Kinetochore"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Protease inhibitor"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Repressor"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Thiol protease inhibitor"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Disrupts interaction with histone H3pT3, no effect on interaction with INCENP."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Loss of cytoprotection."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->R: Disrupts interaction with histone H3pT3, no effect on interaction with INCENP."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: No change. Loss of interaction with AURKB; when associated with A-70."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: No change. Loss of interaction with AURKB; when associated with A-71."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:E->A: Almost abolishes RAN-binding. Does not disrupt binding to AURKB or CDCA8. Disrupts mitotic spindle assembly. Does not disrupt nuclear export."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:E->A: Loss of FBXL7 binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->A,Q: Mimics acetylation. Localization primarily within the nucleus."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Increases ubiquitination and blocks dissociation from centromeres; when associated with R-23; R-62 and R-78."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Increases ubiquitination and blocks dissociation from centromeres; when associated with R-23; R-62 and R-79."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Increases ubiquitination and blocks dissociation from centromeres; when associated with R-23; R-78 and R-79."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Increases ubiquitination and blocks dissociation from centromeres; when associated with R-62; R-78 and R-79."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Loss of acetylation. Localization primarily within the cytoplasm."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:KK->RR: Loss of FBXL7 mediated polyubiquitination."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: Disrupts interaction with histone H3pT3, no effect on interaction with INCENP."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A,E: Localizes normally during mitosis but cannot support cell proliferation. Increased affinity for CDCA8/borealin."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Loss of LAMTOR5 binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Prevents phosphorylation by AURKB. Still able to localize correctly but prevents interaction with INCENP."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->E: Higher affinity for LAMTOR5 binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->E: Mimics phosphorylation. Disrupts subcellular localization during mitosis and prevents interaction with INCENP."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:W->A: Disrupts interaction with histone H3pT3, no effect on interaction with INCENP."
"Functional Annotations","UP_SEQ_FEATURE","REPEAT:BIR"
"Functional Annotations","UP_SEQ_FEATURE","SITE:Interaction with FBXL7"
"Gene Ontology","GOTERM_BP_DIRECT","G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","microtubule cytoskeleton organization"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic cytokinesis"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic spindle organization"
"Gene Ontology","GOTERM_BP_DIRECT","chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic spindle assembly checkpoint signaling"
"Gene Ontology","GOTERM_BP_DIRECT","meiosis I"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","sensory perception of sound"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","protein-containing complex localization"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of exit from mitosis"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of neuron apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","chromosome localization"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic spindle midzone assembly"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
