"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Biological rhythms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA damage"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA replication"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Ubl conjugation pathway"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:DDB1-binding motif"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:Nuclear localization signal"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: Increases protein stability, but no effect on interaction with FBXO11 and polyubiquitination. Delays cell migration."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:F->A: No effect on interaction with FBXO11."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:N->A: No effect on interaction with FBXO11. Increases protein stability."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:P->A: Inhibits phosphorylation on T-464. No effect on interaction with FBXO11."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: Blocks association with DDB1 and ubiquitination by DCX(DTL). No effect on ubiquitination by SCF(FBXO11)."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Blocks interaction with FBXO11 and ubiquitination, increasing protein stability. Delays cell migration."
