"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","DNA topoisomerase II, resistance to inhibition of, by amsacrine"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Biological rhythms"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Isomerase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Topoisomerase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:O-(5'-phospho-DNA)-tyrosine intermediate"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1); alternate"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Histidine kinase/HSP90-like ATPase"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Topo IIA-type catalytic"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Toprim"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:Nuclear export signal"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A,C: Impairs bending of target DNA. Strongly reduced DNA cleavage."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A,C: Strongly reduced DNA cleavage."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:E->A,C: Impairs bending of target DNA. Strongly reduced DNA cleavage."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:KKK->AAA: Reduced enzyme activity; abolishes stimulation of ATPase activity upon DNA binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:KKK->EEE: Strongly reduced enzyme activity; abolishes stimulation of ATPase activity upon DNA binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Abolishes binding to the antibody MPM2."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with DNA"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with PLSCR1"
"Functional Annotations","UP_SEQ_FEATURE","SITE:Important for DNA bending; intercalates between base pairs of target DNA"
"Functional Annotations","UP_SEQ_FEATURE","SITE:Interaction with DNA"
"Functional Annotations","UP_SEQ_FEATURE","SITE:Transition state stabilizer"
"Gene Ontology","GOTERM_BP_DIRECT","resolution of meiotic recombination intermediates"
"Gene Ontology","GOTERM_BP_DIRECT","sister chromatid segregation"
"Gene Ontology","GOTERM_BP_DIRECT","hematopoietic progenitor cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","DNA metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","DNA topological change"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin organization"
"Gene Ontology","GOTERM_BP_DIRECT","DNA damage response"
"Gene Ontology","GOTERM_BP_DIRECT","chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","female meiotic nuclear division"
"Gene Ontology","GOTERM_BP_DIRECT","chromosome condensation"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic chromosome condensation"
"Gene Ontology","GOTERM_BP_DIRECT","embryonic cleavage"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of circadian rhythm"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of single stranded viral RNA replication via double stranded DNA intermediate"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","rhythmic process"
"Gene Ontology","GOTERM_CC_DIRECT","nuclear chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome, centromeric region"
"Gene Ontology","GOTERM_CC_DIRECT","condensed chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","male germ cell nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","nucleolus"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","centriole"
"Gene Ontology","GOTERM_CC_DIRECT","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex"
"Gene Ontology","GOTERM_CC_DIRECT","protein-containing complex"
"Gene Ontology","GOTERM_CC_DIRECT","ribonucleoprotein complex"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","magnesium ion binding"
"Gene Ontology","GOTERM_MF_DIRECT","DNA binding"
"Gene Ontology","GOTERM_MF_DIRECT","chromatin binding"
"Gene Ontology","GOTERM_MF_DIRECT","RNA binding"
"Gene Ontology","GOTERM_MF_DIRECT","DNA topoisomerase activity"
"Gene Ontology","GOTERM_MF_DIRECT","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein kinase C binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP-dependent activity, acting on DNA"
"Gene Ontology","GOTERM_MF_DIRECT","DNA binding, bending"
"Gene Ontology","GOTERM_MF_DIRECT","isomerase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein homodimerization activity"
"Gene Ontology","GOTERM_MF_DIRECT","ubiquitin binding"
"Gene Ontology","GOTERM_MF_DIRECT","metal ion binding"
"Gene Ontology","GOTERM_MF_DIRECT","protein heterodimerization activity"
"General Annotations","CHROMOSOME","17"
"General Annotations","CYTOGENETIC_LOCATION","17q21.2"
"General Annotations","ENTREZ_GENE_SUMMARY","This gene encodes a DNA topoisomerase, an enzyme that controls and alters the topologic states of DNA during transcription. This nuclear enzyme is involved in processes such as chromosome condensation, chromatid separation, and the relief of torsional stress that occurs during DNA transcription and replication. It catalyzes the transient breaking and rejoining of two strands of duplex DNA which allows the strands to pass through one another, thus altering the topology of DNA. Two forms of this enzyme exist as likely products of a gene duplication event. The gene encoding this form, alpha, is localized to chromosome 17 and the beta gene is localized to chromosome 3. The gene encoding this enzyme functions as the target for several anticancer agents and a variety of mutations in this gene have been associated with the development of drug resistance. Reduced activity of this enzyme may also play a role in ataxia-telangiectasia. [provided by RefSeq, Jul 2010]"
"General Annotations","UP_COMMENT_ACTIVITY_REGULATION","Specifically inhibited by the intercalating agent amsacrine."
"General Annotations","UP_COMMENT_ALTERNATIVE_PRODUCTS","Event=Alternative splicing; Named isoforms=4; Name=1;   IsoId=P11388-1; Sequence=Displayed; Name=2;   IsoId=P11388-2; Sequence=VSP_006531; Name=3;   IsoId=P11388-3; Sequence=VSP_006529; Name=4;   IsoId=P11388-4; Sequence=VSP_006530;"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=ATP-dependent breakage, passage and rejoining of double-   stranded DNA.; EC=5.6.2.2; Evidence={ECO:0000255|PROSITE-   ProRule:PRU00995, ECO:0000269|PubMed:19222228,   ECO:0000269|PubMed:19697956};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=ATP-dependent breakage, passage and rejoining of double-   stranded DNA.; EC=5.6.2.2; Evidence={ECO:0000256|ARBA:ARBA00000185,   ECO:0000256|RuleBase:RU362094};"
"General Annotations","UP_COMMENT_COFACTOR","Name=Ca(2+); Xref=ChEBI:CHEBI:29108;   Evidence={ECO:0000256|RuleBase:RU362094}; Name=Mg(2+); Xref=ChEBI:CHEBI:18420;   Evidence={ECO:0000256|RuleBase:RU362094}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035;   Evidence={ECO:0000256|RuleBase:RU362094};"
"General Annotations","UP_COMMENT_COFACTOR","Name=Mg(2+); Xref=ChEBI:CHEBI:18420;   Evidence={ECO:0000256|ARBA:ARBA00001946};"
