"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Breast cancer, somatic"
"Disease","OMIM_DISEASE","Migraine, susceptibility to"
"Disease","OMIM_DISEASE","Myocardial infarction, susceptibility to"
"Disease","OMIM_DISEASE","Estrogen resistance"
"Disease","UP_KW_DISEASE","Disease variant"
"Disease","UP_KW_DISEASE","Osteoporosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Golgi apparatus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cell membrane"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Activator"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Receptor"
"Functional Annotations","UP_KW_PTM","Glycoprotein"
"Functional Annotations","UP_KW_PTM","Lipoprotein"
"Functional Annotations","UP_KW_PTM","Methylation"
"Functional Annotations","UP_KW_PTM","Palmitate"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","CARBOHYD:O-linked (GlcNAc) serine"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","DNA_BIND:Nuclear receptor"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Estrogen receptor N-terminal"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:NR LBD"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Nuclear receptor"
"Functional Annotations","UP_SEQ_FEATURE","LIPID:S-palmitoyl cysteine"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->A: Loss of hormone binding capacity and temperature-sensitive loss in DNA-binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:I->C: Loss of transmembrane localization, no effect on peripheral membrane localization. Impairs activation of estrogen-induced activation of NOS3 and production of nitric oxide. No effect on binding to ERES."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->A: Abolishes interaction with NCOA1, NCOA2 and NCOA3."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->P: Impairs AF-1 transactivation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A,K: Loss of methylation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Decreases phosphorylation and transactivation activity. Abolishes AF-1 transactivation. Insensitive to PPP5C inhibition of transactivation activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Loss of cyclin A-dependent induction of transcriptional activation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->E: Enhances transactivation activity. Insensitive to PPP5C inhibition of transactivation activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:V->E: Has higher transcriptional activity in the absence of wild type ER. Inhibits transcriptional activity when coexpressed with the wild type receptor."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Y->A: Reduces PELP1-mediated activation of transcriptional activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:Y->P: Impairs AF-1 transactivation."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Hinge"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with AKAP13"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with DDX5; self-association"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Mediates interaction with DNTTIP2"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Modulating (transactivation AF-1); mediates interaction with MACROD1"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Required for interaction with NCOA1"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Self-association"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Transactivation AF-2"
"Functional Annotations","UP_SEQ_FEATURE","ZN_FING:NR C4-type"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","antral ovarian follicle growth"
"Gene Ontology","GOTERM_BP_DIRECT","epithelial cell development"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin remodeling"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","transcription by RNA polymerase II"
