"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA damage"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA repair"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA replication"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Mitochondrion"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Endonuclease"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Exonuclease"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Hydrolase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Nuclease"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Methylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic residues"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:XPG N-terminal"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:XPG-I"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: Loss of flap endonuclease activity and substrate binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: Loss of flap endonuclease activity but substrate binding activity is retained."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: No effect on flap endonuclease activity or substrate binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:E->A: Loss of flap endonuclease activity and substrate binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:G->A: Loss of flap endonuclease activity and substrate binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->A: No significant effect on exonuclease activity or flap endonuclease activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: Loss of exonuclease activity and reduced endonuclease activity. Reduced substrate binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: No effect on flap endonuclease activity or substrate binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: No significant effect on exonuclease activity or flap endonuclease activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->A: Significantly reduced exonuclease activity and reduced substrate binding. The positions of the cleavage sites are also shifted."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->K: Impairs ability to localize to sites of DNA replication or repair."
