"Main Category","Category","Terms"
"Disease","UP_KW_DISEASE","Disease variant"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Host-virus interaction"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Intermediate filament"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Keratin"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Glycoprotein"
"Functional Annotations","UP_KW_PTM","Methylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1); alternate"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:IF rod"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Keratin type II head"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:L->P: Increases phosphorylation."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Generates normal-appearing filaments, that remain stable after okadaic acid treatment."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Generates normal-appearing filaments, that are destabilized by okadaic acid."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Coil 1A"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Coil 1B"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Coil 2"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Head"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Linker 1"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Linker 12"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Necessary for interaction with PNN"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Tail"
