"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Cardiomyopathy, familial restrictive, 6"
"Disease","UP_KW_DISEASE","Cardiomyopathy"
"Disease","UP_KW_DISEASE","Disease variant"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Protein transport"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transport"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Golgi apparatus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Microtubule"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Motor protein"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Kinesin motor"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Impairs phosphorylation by PLK1 and recruitment of PLK1 to the spindle."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Globular"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic cytokinesis"
"Gene Ontology","GOTERM_BP_DIRECT","microtubule bundle formation"
"Gene Ontology","GOTERM_BP_DIRECT","microtubule-based movement"
"Gene Ontology","GOTERM_BP_DIRECT","protein transport"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cytokinesis"
"Gene Ontology","GOTERM_BP_DIRECT","midbody abscission"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","Golgi apparatus"
"Gene Ontology","GOTERM_CC_DIRECT","spindle"
"Gene Ontology","GOTERM_CC_DIRECT","cytoskeleton"
"Gene Ontology","GOTERM_CC_DIRECT","kinesin complex"
"Gene Ontology","GOTERM_CC_DIRECT","microtubule"
