"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Chromosome partition"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Centromere"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Microtubule"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Kinetochore"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Motor protein"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Kinesin motor"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:Microtubule tip localization signal"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:Nuclear localization signal"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:IP->NN: Loss of interaction with MAPRE1 and association with microtubule growing ends."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->E: Alters interaction with MAPRE1 and association with microtubule growing ends; when associated with E-109 and E-111."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->E: Alters interaction with MAPRE1 and association with microtubule growing ends; when associated with E-95 and E-109."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->E: Alters interaction with MAPRE1 and association with microtubule growing ends; when associated with E-95 and E-111."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Globular"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Negative regulator of microtubule-binding"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic sister chromatid segregation"
"Gene Ontology","GOTERM_BP_DIRECT","microtubule-based movement"
"Gene Ontology","GOTERM_BP_DIRECT","microtubule depolymerization"
"Gene Ontology","GOTERM_BP_DIRECT","chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic metaphase chromosome alignment"
"Gene Ontology","GOTERM_BP_DIRECT","establishment or maintenance of microtubule cytoskeleton polarity"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
"Gene Ontology","GOTERM_BP_DIRECT","metaphase chromosome alignment"
"Gene Ontology","GOTERM_BP_DIRECT","attachment of mitotic spindle microtubules to kinetochore"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of chromosome segregation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane"
