"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Deafness, autosomal dominant 70"
"Disease","UP_KW_DISEASE","Deafness"
"Disease","UP_KW_DISEASE","Disease variant"
"Disease","UP_KW_DISEASE","Non-syndromic deafness"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA replication"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Helicase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Hydrolase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Polar residues"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:MCM"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:Arginine finger"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Impairs ATPase activity of the MCM-2-7 complex and reduces phosphorylation by the CDC7-DBF4 complex; when associated with A-27 and A-139."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Impairs ATPase activity of the MCM-2-7 complex and reduces phosphorylation by the CDC7-DBF4 complex; when associated with A-27 and A-41."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Impairs ATPase activity of the MCM-2-7 complex and reduces phosphorylation by the CDC7-DBF4 complex; when associated with A-41 and A-139."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Reduces phosphorylation by ATR."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:YRAIPELDAY->ARAIPELDAA: Loss of interaction with DNAJC9."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with DNJC9"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with KAT7"
"Functional Annotations","UP_SEQ_FEATURE","ZN_FING:C4-type"
"Gene Ontology","GOTERM_BP_DIRECT","double-strand break repair via break-induced replication"
"Gene Ontology","GOTERM_BP_DIRECT","DNA replication"
"Gene Ontology","GOTERM_BP_DIRECT","DNA replication initiation"
"Gene Ontology","GOTERM_BP_DIRECT","nucleosome assembly"
"Gene Ontology","GOTERM_BP_DIRECT","apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of DNA-templated DNA replication initiation"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to interleukin-4"
"Gene Ontology","GOTERM_BP_DIRECT","cochlea development"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic DNA replication initiation"
"Gene Ontology","GOTERM_CC_DIRECT","nuclear chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome, telomeric region"
"Gene Ontology","GOTERM_CC_DIRECT","chromatin"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","nucleoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","nuclear origin of replication recognition complex"
"Gene Ontology","GOTERM_CC_DIRECT","chromosome"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","cytosol"
"Gene Ontology","GOTERM_CC_DIRECT","cilium"
"Gene Ontology","GOTERM_CC_DIRECT","MCM complex"
"Gene Ontology","GOTERM_CC_DIRECT","intracellular membrane-bounded organelle"
"Gene Ontology","GOTERM_CC_DIRECT","CMG complex"
"Gene Ontology","GOTERM_MF_DIRECT","nucleotide binding"
"Gene Ontology","GOTERM_MF_DIRECT","DNA binding"
"Gene Ontology","GOTERM_MF_DIRECT","DNA helicase activity"
"Gene Ontology","GOTERM_MF_DIRECT","DNA replication origin binding"
"Gene Ontology","GOTERM_MF_DIRECT","single-stranded DNA binding"
"Gene Ontology","GOTERM_MF_DIRECT","helicase activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","ATP binding"
"Gene Ontology","GOTERM_MF_DIRECT","zinc ion binding"
"Gene Ontology","GOTERM_MF_DIRECT","hydrolase activity"
"Gene Ontology","GOTERM_MF_DIRECT","ATP hydrolysis activity"
"Gene Ontology","GOTERM_MF_DIRECT","single-stranded DNA helicase activity"
"Gene Ontology","GOTERM_MF_DIRECT","enzyme binding"
"Gene Ontology","GOTERM_MF_DIRECT","histone binding"
"Gene Ontology","GOTERM_MF_DIRECT","3'-5' DNA helicase activity"
"Gene Ontology","GOTERM_MF_DIRECT","metal ion binding"
"General Annotations","CHROMOSOME","3"
"General Annotations","CYTOGENETIC_LOCATION","3q21.3"
"General Annotations","ENTREZ_GENE_SUMMARY","The protein encoded by this gene is one of the highly conserved mini-chromosome maintenance proteins (MCM) that are involved in the initiation of eukaryotic genome replication. The hexameric protein complex formed by MCM proteins is a key component of the pre-replication complex (pre_RC) and may be involved in the formation of replication forks and in the recruitment of other DNA replication related proteins. This protein forms a complex with MCM4, 6, and 7, and has been shown to regulate the helicase activity of the complex. This protein is phosphorylated, and thus regulated by, protein kinases CDC2 and CDC7. Multiple alternatively spliced transcript variants have been found, but the full-length nature of some variants has not been defined. [provided by RefSeq, Oct 2012]"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=ATP + H2O = ADP + phosphate + H(+); Xref=Rhea:RHEA:13065,   ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616,   ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.12;   Evidence={ECO:0000256|ARBA:ARBA00048432}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:13066;   Evidence={ECO:0000256|ARBA:ARBA00048432};"
"General Annotations","UP_COMMENT_CATALYTIC_ACTIVITY","Reaction=ATP + H2O = ADP + phosphate + H(+); Xref=Rhea:RHEA:13065,   ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616,   ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.12;   Evidence={ECO:0000269|PubMed:32453425}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:13066;   Evidence={ECO:0000269|PubMed:32453425};"
"General Annotations","UP_COMMENT_DISEASE","Deafness, autosomal dominant, 70 (DFNA70) [MIM:616968]: A form of non-syndromic sensorineural hearing loss. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information. DFNA70 is characterized by slowly progressive, postlingual hearing impairment. {ECO:0000269|PubMed:26196677}. Note=The disease is caused by variants affecting the gene represented in this entry."
"General Annotations","UP_COMMENT_FUNCTION","Acts as a component of the MCM2-7 complex (MCM complex) which is the replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. Core component of CDC45-MCM-GINS (CMG) helicase, the molecular machine that unwinds template DNA during replication, and around which the replisome is built (PubMed:32453425, PubMed:34694004, PubMed:34700328, PubMed:35585232). The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity (PubMed:32453425). Required for the entry in S phase and for cell division (PubMed:8175912). Plays a role in terminally differentiated hair cells development of the cochlea and induces cells apoptosis (PubMed:26196677). {ECO:0000269|PubMed:26196677, ECO:0000269|PubMed:32453425, ECO:0000269|PubMed:34694004, ECO:0000269|PubMed:34700328, ECO:0000269|PubMed:35585232, ECO:0000269|PubMed:8175912}."
"General Annotations","UP_COMMENT_FUNCTION","Acts as a component of the MCM2-7 complex (MCM complex) which is the replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. Core component of CDC45-MCM-GINS (CMG) helicase, the molecular machine that unwinds template DNA during replication, and around which the replisome is built. The active ATPase sites in the MCM2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity. Required for the entry in S phase and for cell division. Plays a role in terminally differentiated hair cells development of the cochlea and induces cells apoptosis. {ECO:0000256|ARBA:ARBA00054135}."
"General Annotations","UP_COMMENT_INTERACTION","P49736; O43823: AKAP8; NbExp=7; IntAct=EBI-374819, EBI-1237481; P49736; Q9Y294: ASF1A; NbExp=12; IntAct=EBI-374819, EBI-749553; P49736; O75419: CDC45; NbExp=2; IntAct=EBI-374819, EBI-374969; P49736; P49450: CENPA; NbExp=3; IntAct=EBI-374819, EBI-1751979; P49736; Q9NYP3: DONSON; NbExp=10; IntAct=EBI-374819, EBI-32724208; P49736; Q8IYD8: FANCM; NbExp=5; IntAct=EBI-374819, EBI-3957237; P49736; Q9BRX5: GINS3; NbExp=2; IntAct=EBI-374819, EBI-2857315; P49736; P68431: H3C12; NbExp=8; IntAct=EBI-374819, EBI-79722; P49736; P62805: H4C9; NbExp=9; IntAct=EBI-374819, EBI-302023; P49736; Q9Y468: L3MBTL1; NbExp=3; IntAct=EBI-374819, EBI-1265089; P49736; P25205: MCM3; NbExp=9; IntAct=EBI-374819, EBI-355153; P49736; P33992: MCM5; NbExp=5; IntAct=EBI-374819, EBI-359410; P49736; Q14566: MCM6; NbExp=18; IntAct=EBI-374819, EBI-374900; P49736; P33993: MCM7; NbExp=23; IntAct=EBI-374819, EBI-355924; P49736; Q9BTE3: MCMBP; NbExp=5; IntAct=EBI-374819, EBI-749378; P49736; P53350: PLK1; NbExp=2; IntAct=EBI-374819, EBI-476768; P49736; Q96H20: SNF8; NbExp=8; IntAct=EBI-374819, EBI-747719; P49736; Q08945: SSRP1; NbExp=6; IntAct=EBI-374819, EBI-353771; P49736; Q9NYB0: TERF2IP; NbExp=2; IntAct=EBI-374819, EBI-750109;"
"General Annotations","UP_COMMENT_MISCELLANEOUS","Early fractionation of eukaryotic MCM proteins yielded a variety of dimeric, trimeric and tetrameric complexes with unclear biological significance. Specifically a MCM467 subcomplex is shown to have in vitro helicase activity which is inhibited by the MCM2 subunit. The MCM2-7 hexamer is the proposed physiological active complex."
