"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Ataxia-telangiectasia-like disorder 2"
"Disease","UP_KW_DISEASE","Deafness"
"Disease","UP_KW_DISEASE","Disease variant"
"Disease","UP_KW_DISEASE","Dwarfism"
"Disease","UP_KW_DISEASE","Neurodegeneration"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA damage"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA repair"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","DNA replication"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Host-virus interaction"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Methylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Disulfide bond"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin); alternate"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Proliferating cell nuclear antigen PCNA C-terminal"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Proliferating cell nuclear antigen PCNA N-terminal"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:A->G: Complete loss of interaction with UHRF2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:I->A: Complete loss of interaction with UHRF2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->A: Inhibits recruitment to DNA damage sites, but nuclear localization is similar as the wild-type; in association with A-77."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->A: Inhibits recruitment to DNA damage sites, but nuclear localization is similar as the wild-type; in association with A-80."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Abolishes ubiquitination. No effect on interaction with SHPRH."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-13; R-14; R-20 and R-77."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-13; R-14; R-20 and R-80."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-13; R-14; R-77 and R-80."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-13; R-20; R-77 and R-80."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-14; R-20; R-77 and R-80."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:LAPK->AAAA: Decrease in POLD3-binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:M->A: Complete loss of interaction with UHRF2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:QLGI->AAAA: Strong decrease in POLD3-binding. Impairs binding to ALKBH2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:SHV->AAA: No effect on POLD3-binding. Impairs binding to ALKBH2."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:VDK->AAA: No effect on POLD3-binding. No effect on ALKBH2-binding."
