"Main Category","Category","Terms"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Gly residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Anti-proliferative protein"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Gene Ontology","GOTERM_BP_DIRECT","female gamete generation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","osteoclast differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of osteoclast differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of ossification"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_CC_DIRECT","nucleus"
"Gene Ontology","GOTERM_CC_DIRECT","cytoplasm"
"Gene Ontology","GOTERM_CC_DIRECT","cytosol"
"Gene Ontology","GOTERM_MF_DIRECT","transcription corepressor activity"
"Gene Ontology","GOTERM_MF_DIRECT","protein binding"
"Gene Ontology","GOTERM_MF_DIRECT","nuclear vitamin D receptor binding"
"General Annotations","CHROMOSOME","22"
"General Annotations","CYTOGENETIC_LOCATION","22q13.2"
"General Annotations","ENTREZ_GENE_SUMMARY","TOB2 belongs to the TOB (see TOB1; MIM 605523)/BTG1 (MIM 109580) family of antiproliferative proteins, which are involved in the regulation of cell cycle progression.[supplied by OMIM, Apr 2004]"
"General Annotations","UP_COMMENT_ALTERNATIVE_PRODUCTS","Event=Alternative splicing; Named isoforms=2; Name=1;   IsoId=Q14106-1; Sequence=Displayed; Name=2;   IsoId=Q14106-2; Sequence=VSP_055557;"
"General Annotations","UP_COMMENT_FUNCTION","Anti-proliferative protein inhibits cell cycle progression from the G0/G1 to S phases."
"General Annotations","UP_COMMENT_INTERACTION","Q14106; O14503: BHLHE40; NbExp=3; IntAct=EBI-2562000, EBI-711810; Q14106; Q8TAP6: CEP76; NbExp=3; IntAct=EBI-2562000, EBI-742887; Q14106; Q9UIV1: CNOT7; NbExp=8; IntAct=EBI-2562000, EBI-2105113; Q14106; Q9UFF9: CNOT8; NbExp=3; IntAct=EBI-2562000, EBI-742299; Q14106; P11940: PABPC1; NbExp=5; IntAct=EBI-2562000, EBI-81531; Q14106; Q60809: Cnot7; Xeno; NbExp=4; IntAct=EBI-2562000, EBI-2104739;"
"General Annotations","UP_COMMENT_SEQUENCE_CAUTION","Sequence=BAB33333.1; Type=Erroneous initiation; Evidence={ECO:0000305};"
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the BTG family. {ECO:0000256|ARBA:ARBA00007989}."
"General Annotations","UP_COMMENT_SIMILARITY","Belongs to the BTG family. {ECO:0000305}."
"General Annotations","UP_COMMENT_SUBCELLULAR_LOCATION","Cytoplasm."
"General Annotations","UP_COMMENT_SUBUNIT","Associates with CAF1."
"General Annotations","UP_COMMENT_TISSUE_SPECIFICITY","Ubiquitous."
"Identifiers","ENTREZ_GENE_ID","10766"
"Identifiers","ENSEMBL_GENE_ID","ENSG00000183864"
"Identifiers","UNIPROT_ID","TOB2_HUMAN"
"Identifiers","UNIPROT_ID","B0QXZ4_HUMAN"
"Literature","GENERIF_SUMMARY","Antiproliferative proteins of the BTG/Tob family are degraded by the ubiquitin-proteasome system.  the C-terminal regions are necessary and sufficient to control the stabilities of BTG1, BTG2, Tob, and Tob2 proteins."
"Literature","GENERIF_SUMMARY","TNFalpha is able to transactivate ErbB-2 and use it as an obligatory downstream signaling molecule in the generation of mitogenic signals."
"Literature","GENERIF_SUMMARY","Haploinsufficiency of the MLL and TOB2 genes in lymphoid malignancy."
"Literature","GENERIF_SUMMARY","study identifies miR-378-TOB2-cyclin D1 as a functional module to mediate the cross talk between Myc and Ras signaling in cellular transformation"
"Literature","GENERIF_SUMMARY","The antiproliferative and the mRNA deadenylation/decay-promoting effects of TOB1 and TOB2 proteins are linked."
"Literature","GENERIF_SUMMARY","Results show reduced Tob2 expression in primary hepatocellular Carcinoma cells (HCC) and that dysregulation of miR-362 and Tob2 may contribute to HCC malignancy."
"Literature","GENERIF_SUMMARY","Tob2 phosphorylation regulates global mRNA turnover to reshape transcriptome and impact cell proliferation."
"Literature","GENERIF_SUMMARY","MiR-375 promotes human periodontal ligament stem cells proliferation and osteogenic differentiation by targeting transducer of ERBB2, 2."
"Pathways","KEGG_PATHWAY","RNA degradation"
"Pathways","WIKIPATHWAYS","Bone morphogenic protein signaling and regulation"
"Protein Domains","INTERPRO","Anti_prolifrtn"
"Protein Domains","INTERPRO","PAM2_motif"
"Protein Domains","INTERPRO","Tob1/2"
"Protein Domains","INTERPRO","BTG-like_sf"
"Protein Domains","SMART","btg1"

