"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Breast cancer, somatic"
"Disease","OMIM_DISEASE","Colorectal cancer"
"Disease","OMIM_DISEASE","Hepatocellular carcinoma, somatic"
"Disease","OMIM_DISEASE","Glioma susceptibility 1"
"Disease","OMIM_DISEASE","Li-Fraumeni syndrome"
"Disease","OMIM_DISEASE","Adrenocortical carcinoma, pediatric"
"Disease","OMIM_DISEASE","Osteosarcoma"
"Disease","OMIM_DISEASE","Choroid plexus papilloma"
"Disease","OMIM_DISEASE","Nasopharyngeal carcinoma, somatic"
"Disease","OMIM_DISEASE","Basal cell carcinoma 7"
"Disease","OMIM_DISEASE","Bone marrow failure syndrome 5"
"Disease","OMIM_DISEASE","Pancreatic cancer, somatic 260350"
"Disease","UP_KW_DISEASE","Tumor suppressor"
"Disease","UP_KW_DISEASE","Disease variant"
"Disease","UP_KW_DISEASE","Li-Fraumeni syndrome"
"Disease","UP_KW_DISEASE","Li-Fraumeni syndrome"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Apoptosis"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Biological rhythms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Host-virus interaction"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Necrosis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Endoplasmic reticulum"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Mitochondrion"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Activator"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Repressor"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Glycoprotein"
"Functional Annotations","UP_KW_PTM","Methylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
