"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALB",1607.03165778505,-6.5727978196805,0.981138087898395,-6.69915672498198,2.09625677884092e-11,2.14181542616773e-07
"GPR158",101.269567836737,-5.00064504145319,0.746211165174542,-6.70138062097144,2.06459487525909e-11,2.14181542616773e-07
"GFAP",120.080089395899,3.41914849771227,0.499265074957395,6.84836306245543,7.46997904788224e-12,2.14181542616773e-07
"MDGA2",113.652412538955,-6.07044301678208,1.01467671347709,-5.98263755948423,2.19552950529413e-09,1.51582798392281e-05
"SLC7A5",10952.200491892,-3.8179289541699,0.640242588306358,-5.96325365400873,2.47264123698749e-09,1.51582798392281e-05
"CXCL13",354.868045400121,5.5897863121692,1.0040915340179,5.56700870666791,2.59149451307146e-08,6.61954081788886e-05
"H3C8",16.5264503557481,-5.88889621726399,1.03671053449865,-5.68036691178393,1.34406100980809e-08,6.61954081788886e-05
"LEP",296.487268297993,4.81193550189259,0.857950746064143,5.60863840257426,2.03924585454682e-08,6.61954081788886e-05
"PSAT1",330.758593249945,-4.35706658557593,0.772870471211156,-5.63751203839891,1.72524547774683e-08,6.61954081788886e-05
"LINC02253",9.51530142054672,-5.86967254437966,1.04939361101734,-5.59339458784133,2.22672439228285e-08,6.61954081788886e-05
"PPM1E",160.140859461448,-4.12288398078014,0.736072265688452,-5.60119457418218,2.12879615433126e-08,6.61954081788886e-05
"ELFN2",280.37687247348,-4.95961642801975,0.890031798044039,-5.57240363649833,2.51248470700945e-08,6.61954081788886e-05
"PDZRN4",16.2175857374345,4.13801104441151,0.751837620867039,5.5038627085985,3.71558937891745e-08,8.76078812635213e-05
"LRP8",624.448847960313,-3.12016990442247,0.576053847629723,-5.41645527976416,6.07921866654677e-08,0.000133100150404994
"ENSG00000260466",18.2664298966056,-3.82759930001469,0.709231604292989,-5.39682563050797,6.78302501195578e-08,0.000138608855110979
"ENSG00000286836",21.2906048441629,-3.20770857594113,0.603910357708345,-5.31156410052877,1.08688326877884e-07,0.000208219662216307
