"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Hypoparathyroidism, sensorineural deafness, and renal dysplasia"
"Disease","UP_KW_DISEASE","Deafness"
"Disease","UP_KW_DISEASE","Disease variant"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Immunity"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Innate immunity"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Activator"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:YxKxHxxxRP"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Flexible linker"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with TBX21"
"Functional Annotations","UP_SEQ_FEATURE","ZN_FING:GATA-type 1"
"Functional Annotations","UP_SEQ_FEATURE","ZN_FING:GATA-type 2"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","cell morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","in utero embryonic development"
"Gene Ontology","GOTERM_BP_DIRECT","cell fate determination"
"Gene Ontology","GOTERM_BP_DIRECT","neuron migration"
"Gene Ontology","GOTERM_BP_DIRECT","cell activation"
"Gene Ontology","GOTERM_BP_DIRECT","type IV hypersensitivity"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cytokine production"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cytokine production"
"Gene Ontology","GOTERM_BP_DIRECT","kidney development"
"Gene Ontology","GOTERM_BP_DIRECT","mesonephros development"
"Gene Ontology","GOTERM_BP_DIRECT","lens development in camera-type eye"
"Gene Ontology","GOTERM_BP_DIRECT","immune system process"
"Gene Ontology","GOTERM_BP_DIRECT","immune system development"
"Gene Ontology","GOTERM_BP_DIRECT","pro-T cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","aortic valve morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","cardiac right ventricle morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","ventricular septum development"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin remodeling"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","defense response"
"Gene Ontology","GOTERM_BP_DIRECT","inflammatory response"
"Gene Ontology","GOTERM_BP_DIRECT","humoral immune response"
"Gene Ontology","GOTERM_BP_DIRECT","signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","nervous system development"
"Gene Ontology","GOTERM_BP_DIRECT","axon guidance"
"Gene Ontology","GOTERM_BP_DIRECT","cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell population proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","male gonad development"
"Gene Ontology","GOTERM_BP_DIRECT","response to xenobiotic stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","response to virus"
"Gene Ontology","GOTERM_BP_DIRECT","anatomical structure morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","post-embryonic development"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","response to gamma radiation"
"Gene Ontology","GOTERM_BP_DIRECT","gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of endothelial cell migration"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of epithelial to mesenchymal transition"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of neuron projection development"
"Gene Ontology","GOTERM_BP_DIRECT","cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","neuron differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","T cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","erythrocyte differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","macrophage differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of epithelial cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","TOR signaling"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of type II interferon production"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of interleukin-2 production"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of interleukin-13 production"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of interleukin-4 production"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of interleukin-5 production"
"Gene Ontology","GOTERM_BP_DIRECT","T cell differentiation in thymus"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of mammary gland epithelial cell proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","embryonic hemopoiesis"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to interferon-alpha"
"Gene Ontology","GOTERM_BP_DIRECT","ureter maturation"
"Gene Ontology","GOTERM_BP_DIRECT","parathyroid hormone secretion"
"Gene Ontology","GOTERM_BP_DIRECT","norepinephrine biosynthetic process"
"Gene Ontology","GOTERM_BP_DIRECT","inner ear morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","phosphatidylinositol 3-kinase/protein kinase B signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of neuron apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","ear development"
"Gene Ontology","GOTERM_BP_DIRECT","response to estrogen"
"Gene Ontology","GOTERM_BP_DIRECT","thymic T cell selection"
"Gene Ontology","GOTERM_BP_DIRECT","T-helper 2 cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","innate immune response"
"Gene Ontology","GOTERM_BP_DIRECT","cell fate commitment"
"Gene Ontology","GOTERM_BP_DIRECT","response to ethanol"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of T cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of T-helper cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","cell maturation"
"Gene Ontology","GOTERM_BP_DIRECT","sympathetic nervous system development"
"Gene Ontology","GOTERM_BP_DIRECT","thymus development"
"Gene Ontology","GOTERM_BP_DIRECT","embryonic organ development"
"Gene Ontology","GOTERM_BP_DIRECT","developmental growth"
"Gene Ontology","GOTERM_BP_DIRECT","anatomical structure formation involved in morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","system development"
"Gene Ontology","GOTERM_BP_DIRECT","homeostasis of number of cells"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of inflammatory response"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of developmental process"
"Gene Ontology","GOTERM_BP_DIRECT","T cell receptor signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","cartilage development"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction"
"Gene Ontology","GOTERM_BP_DIRECT","parathyroid gland development"
"Gene Ontology","GOTERM_BP_DIRECT","pharyngeal system development"
"Gene Ontology","GOTERM_BP_DIRECT","uterus development"
"Gene Ontology","GOTERM_BP_DIRECT","canonical Wnt signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","mesenchymal to epithelial transition"
"Gene Ontology","GOTERM_BP_DIRECT","mast cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","ureteric bud formation"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to cytokine stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to interleukin-4"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to tumor necrosis factor"
"Gene Ontology","GOTERM_BP_DIRECT","otic vesicle development"
"Gene Ontology","GOTERM_BP_DIRECT","cellular response to BMP stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of ureteric bud formation"
"Gene Ontology","GOTERM_BP_DIRECT","nephric duct morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","nephric duct formation"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of nephron tubule epithelial cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","ureter morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","lymphocyte migration"
"Gene Ontology","GOTERM_BP_DIRECT","cochlea development"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of miRNA transcription"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of establishment of cell polarity"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of cell motility"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of endothelial cell apoptotic process"
