"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Cyclin"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Cyclin C-terminal"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Cyclin-like"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Does not affect phosphorylation by PLK1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Strongly impairs phosphorylation by PLK1."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Interaction with CDK2"
"Gene Ontology","GOTERM_BP_DIRECT","G1/S transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","oocyte maturation"
"Gene Ontology","GOTERM_BP_DIRECT","in utero embryonic development"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic spindle organization"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic metaphase chromosome alignment"
"Gene Ontology","GOTERM_BP_DIRECT","spermatogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","response to xenobiotic stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","response to mechanical stimulus"
"Gene Ontology","GOTERM_BP_DIRECT","response to toxic substance"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of G2/M transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of mRNA 3'-end processing"
"Gene Ontology","GOTERM_BP_DIRECT","tissue regeneration"
"Gene Ontology","GOTERM_BP_DIRECT","mitotic cell cycle phase transition"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","response to DDT"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of fibroblast proliferation"
"Gene Ontology","GOTERM_BP_DIRECT","digestive tract development"
"Gene Ontology","GOTERM_BP_DIRECT","cell division"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of attachment of spindle microtubules to kinetochore"
