"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell cycle"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Cell division"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Mitosis"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Centromere"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoskeleton"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Kinetochore"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Serine/threonine-protein kinase"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Transferase"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","ACT_SITE:Proton acceptor"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:POLO box"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:POLO box 1"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:POLO box 2"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Protein kinase"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:D-box that targets the protein for proteasomal degradation in anaphase"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:C->V: In analog-sensitive mutant; enlarged catalytic pocket to accommodate purine analogs; when associated with G-130."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->A: Does not interfere with FRY-binding."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:D->N: Abolishes kinase activity."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:H->A: In pincer mutant; loss of centrosomal location and decreased interaction with phosphorylated CDC25C and BUB1; when associated with M-540."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->M: In pincer mutant; loss of centrosomal location and decreased interaction with phosphorylated CDC25C and BUB1; when associated with A-538."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->M: Loss of kinase activity. No effect on S-phase progression."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:K->R: Loss of kinase activity. No effect on RIOK2-binding."
