"Main Category","Category","Terms"
"Disease","OMIM_DISEASE","Burkitt lymphoma, somatic"
"Disease","UP_KW_DISEASE","Proto-oncogene"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Chromosome"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Membrane"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Cytoplasm"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Activator"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_PTM","Acetylation"
"Functional Annotations","UP_KW_PTM","Glycoprotein"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_KW_PTM","Ubl conjugation"
"Functional Annotations","UP_KW_PTM","Isopeptide bond"
"Functional Annotations","UP_SEQ_FEATURE","CARBOHYD:O-linked (GlcNAc) threonine; alternate"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Pro residues"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)"
"Functional Annotations","UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:BHLH"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Transcription regulator Myc N-terminal"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:bHLH"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:9aaTAD"
"Functional Annotations","UP_SEQ_FEATURE","MOTIF:UBR5-degron"
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:R->K: Abolished ubiquitination and degradation by the DCX(TRPC4AP) complex."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->A: Impairs interaction with FBXW7 and subsequent degradation by the proteasome. Impaired inhibition of Ras-induced senescence. Abolishes phosphorylation by DYRK2, and subsequent phosphorylation by GSK3B at Thr-73."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:S->D: Phospho-mimetic mutant; abolished regulation by AMBRA1."
"Functional Annotations","UP_SEQ_FEATURE","MUTAGEN:T->A: Impairs interaction with FBXW7 and subsequent degradation by the proteasome. Normal inhibition of Ras-induced senescence."
"Functional Annotations","UP_SEQ_FEATURE","REGION:Basic motif"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Helix-loop-helix motif"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Leucine-zipper"
"Functional Annotations","UP_SEQ_FEATURE","TRANSMEM:Helical"
"Gene Ontology","GOTERM_BP_DIRECT","G1/S transition of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II"
