"Main Category","Category","Terms"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription"
"Functional Annotations","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation"
"Functional Annotations","UP_KW_CELLULAR_COMPONENT","Nucleus"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Activator"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Chromatin regulator"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Developmental protein"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","DNA-binding"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Repressor"
"Functional Annotations","UP_KW_MOLECULAR_FUNCTION","Developmental protein"
"Functional Annotations","UP_KW_PTM","Phosphoprotein"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Gly residues"
"Functional Annotations","UP_SEQ_FEATURE","COMPBIAS:Low complexity"
"Functional Annotations","UP_SEQ_FEATURE","DNA_BIND:Fork-head"
"Functional Annotations","UP_SEQ_FEATURE","DOMAIN:Fork-head"
"Functional Annotations","UP_SEQ_FEATURE","REGION:Disordered"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin organization"
"Gene Ontology","GOTERM_BP_DIRECT","chromatin remodeling"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of DNA-templated transcription"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","Notch signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","smoothened signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","anatomical structure morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of gene expression"
"Gene Ontology","GOTERM_BP_DIRECT","negative regulation of epithelial to mesenchymal transition"
"Gene Ontology","GOTERM_BP_DIRECT","dorsal/ventral neural tube patterning"
"Gene Ontology","GOTERM_BP_DIRECT","cell differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","neuron differentiation"
"Gene Ontology","GOTERM_BP_DIRECT","lung development"
"Gene Ontology","GOTERM_BP_DIRECT","response to estradiol"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of intracellular estrogen receptor signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","tube morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","hormone metabolic process"
"Gene Ontology","GOTERM_BP_DIRECT","glucose homeostasis"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of apoptotic process"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of smoothened signaling pathway"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II"
"Gene Ontology","GOTERM_BP_DIRECT","anatomical structure formation involved in morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","neuron fate specification"
"Gene Ontology","GOTERM_BP_DIRECT","positive regulation of DNA-binding transcription factor activity"
"Gene Ontology","GOTERM_BP_DIRECT","regulation of cell cycle"
"Gene Ontology","GOTERM_BP_DIRECT","lung morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","epithelial tube branching involved in lung morphogenesis"
"Gene Ontology","GOTERM_BP_DIRECT","lung epithelial cell differentiation"
